Product_Name,Product category,url,image_url,product_tags
AIS physical shore stations,Surveillance & monitoring,https://www.kongsberg.com/maritime/products/onshore/onshore-systems/ais-network-infrastructure-shorebased/ais-physical-shore-stations/,"https://www.kongsberg.com/contentassets/c8180d2a2fa84181ab714d9bd40d02dc/ais-physical-shore-station-1020x411.jpg?width=750&rxy=0.5,0.5","AIS transponder, Autonomous Navigation, Underwater Surveillance, Remote Sensing"
AIS service management system,Surveillance & monitoring,https://www.kongsberg.com/maritime/products/onshore/onshore-systems/ais-network-infrastructure-shorebased/ais-service-management-system/,"https://www.kongsberg.com/contentassets/f3f5d1afd51c47f4b4b77e2e5ca8caf2/ais_cm.jpg?width=750&rxy=0.5,0.5","Acoustic Control System, AIS transponder, Marine Survey, Underwater Surveillance"
AIS space receivers,Communication solutions,https://www.kongsberg.com/maritime/products/onshore/space-based/ais-space-receiver/,"https://www.kongsberg.com/contentassets/b015aabb74e9417899ad8cdfabee5ab1/space_earth_1920x500.jpg?width=1500&rxy=0.5,0.5","Transceiver, Radio, reconfigurable SDR, VDES technology, Maritime Communication, Navigation Systems"
APOS - Operating station for HiPAP and HPR Acoustic positioning systems,Underwater navigation & positioning,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/HiPAP-HPR/,"https://www.kongsberg.com/contentassets/e8fdb53f26a3499f95226938012484e8/apos-screen-dump-700x438.jpg?width=500&rxy=0.5,0.5","Navigation system, Positioning system, Acoustic Telemetry, Hydroacoustic Positioning, Dynamic Positioning Reference, Subsea Survey"
APOS Survey - Surveyor's independent Operator Station for HiPAP,Underwater navigation & positioning,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/apos-survey---surveyors-independent-operator-station-for-hipap/,"https://www.kongsberg.com/contentassets/f1b704ed2cbd465fa634747480050111/apos-screen-700x346.jpg?width=500&rxy=0.5,0.5","Navigation system, Positioning system, Acoustic Telemetry, Hydroacoustic Positioning, Dynamic Positioning Reference, Subsea Survey"
Acoustic control system for BOP operation,Surveillance & monitoring,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-control-system/ACS500/,"https://www.kongsberg.com/contentassets/4b95710e4f32457ba2025065bfdd294a/acs-500.jpg?width=1500&rxy=0.5,0.5","Acoustic Control System, Acoustic Telemetry Link, BOP operation, Underwater Surveillance"
Analytics,Cloud solution,https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/analytics/,"https://www.kongsberg.com/contentassets/b26de616851340b1a38ba5a296e083fe/blue_insight_illustration_1601x674.jpg?width=1500&rxy=0.5,0.5","Data Management, Industrial IoT, AI classification, Cloud-Based, Ocean Exploration, Environmental Monitoring"
Aquaculture monitoring system,Fishery & ocean research,https://www.kongsberg.com/maritime/products/commercial-fisheries/aquaculture-monitoring-systems/aquaculture-monitoring-system/,"https://www.kongsberg.com/contentassets/db25e65a36004f3d92ebe7ec3520bc7d/aquaculture-monitoring-1020x535.jpg?width=500&rxy=0.5,0.5","Echo Sounder System, Sonar Technology, Split-Beam Transducer, Wideband Technology, Environmental Monitoring, Fish Stock Assessment"
"Automatic Identification System, AIS",Surveillance & monitoring,https://www.kongsberg.com/maritime/products/bridge-systems-and-control-centres/navigation-systems/ais-automatic-identification-sensor/,"https://www.kongsberg.com/contentassets/bf03b9a2bb594e808781c4a1c59eee4a/ais-300-700x403.jpg?width=500&rxy=0.5,0.5","AIS transponder, Autonomous Navigation, Underwater Surveillance, Remote Sensing"
"Autonomous Underwater Vehicle, HUGIN",Seafloor mapping,https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-hugin/,"https://www.kongsberg.com/contentassets/4fd118849fb24dfbb271f4d9b82759e6/cimg2511_small.tif?width=1500&rxy=0.5,0.5&format=JPEG","AUV, Underwater, Advanced Navigation System, HISAS, Environmental Monitoring, Subsea Mapping"
"Autonomous Underwater Vehicle, HUGIN",Surveillance & monitoring,https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-hugin/,"https://www.kongsberg.com/contentassets/4fd118849fb24dfbb271f4d9b82759e6/cimg2511_small.tif?width=1500&rxy=0.5,0.5&format=JPEG","AUV, Underwater, Advanced Navigation System, HISAS, Environmental Monitoring, Subsea Mapping"
"Autonomous Underwater Vehicle, HUGIN",Naval,https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-hugin/,"https://www.kongsberg.com/contentassets/4fd118849fb24dfbb271f4d9b82759e6/cimg2511_small.tif?width=1500&rxy=0.5,0.5&format=JPEG","AUV, Underwater, Advanced Navigation System, HISAS, Environmental Monitoring, Subsea Mapping"
"Autonomous Underwater Vehicle, HUGIN",Geophysical survey,https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-hugin/,"https://www.kongsberg.com/contentassets/4fd118849fb24dfbb271f4d9b82759e6/cimg2511_small.tif?width=1500&rxy=0.5,0.5&format=JPEG","AUV, Underwater, Advanced Navigation System, HISAS, Environmental Monitoring, Subsea Mapping"
"Autonomous Underwater Vehicle, HUGIN",Autonomous and uncrewed solutions,https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-hugin/,"https://www.kongsberg.com/contentassets/4fd118849fb24dfbb271f4d9b82759e6/cimg2511_small.tif?width=1500&rxy=0.5,0.5&format=JPEG","AUV, Underwater, Advanced Navigation System, HISAS, Environmental Monitoring, Subsea Mapping"
"Autonomous Underwater Vehicle, HUGIN Edge",Seafloor mapping,https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/autonomous-underwater-vehicle-hugin-edge/,"https://www.kongsberg.com/contentassets/8cf870df24534451afb5f54d171ba2ba/hugin_edge_scan_900x506.png?width=1500&rxy=0.5,0.5","AUV, Underwater, 3D sonar technology, Advanced Navigation System, Marine Survey, Subsea Mapping"
"Autonomous Underwater Vehicle, HUGIN Edge",Surveillance & monitoring,https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/autonomous-underwater-vehicle-hugin-edge/,"https://www.kongsberg.com/contentassets/8cf870df24534451afb5f54d171ba2ba/hugin_edge_scan_900x506.png?width=1500&rxy=0.5,0.5","AUV, Underwater, 3D sonar technology, Advanced Navigation System, Marine Survey, Subsea Mapping"
"Autonomous Underwater Vehicle, HUGIN Edge",Naval,https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/autonomous-underwater-vehicle-hugin-edge/,"https://www.kongsberg.com/contentassets/8cf870df24534451afb5f54d171ba2ba/hugin_edge_scan_900x506.png?width=1500&rxy=0.5,0.5","AUV, Underwater, 3D sonar technology, Advanced Navigation System, Marine Survey, Subsea Mapping"
"Autonomous Underwater Vehicle, HUGIN Edge",Geophysical survey,https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/autonomous-underwater-vehicle-hugin-edge/,"https://www.kongsberg.com/contentassets/8cf870df24534451afb5f54d171ba2ba/hugin_edge_scan_900x506.png?width=1500&rxy=0.5,0.5","AUV, Underwater, 3D sonar technology, Advanced Navigation System, Marine Survey, Subsea Mapping"
"Autonomous Underwater Vehicle, HUGIN Edge",Autonomous and uncrewed solutions,https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/autonomous-underwater-vehicle-hugin-edge/,"https://www.kongsberg.com/contentassets/8cf870df24534451afb5f54d171ba2ba/hugin_edge_scan_900x506.png?width=1500&rxy=0.5,0.5","AUV, Underwater, 3D sonar technology, Advanced Navigation System, Marine Survey, Subsea Mapping"
