Product_Name,Data sheets,Features,General text,Technical Specifications,url,Product category
AIS physical shore stations,,,,,https://www.kongsberg.com/maritime/products/onshore/onshore-systems/ais-network-infrastructure-shorebased/ais-physical-shore-stations/,Surveillance & monitoring
AIS service management system,," - Monitoring of all AIS vessels and AIS AtoN within range
 - Utilizes different types of electronic charts
 - Receives a data stream of VDM messages from AIS Base Stations
 - AIS Base Station management
 - Geographical displaying of AIS targets
 - Tabular listing of AIS targets with sorting and filtering functionality
 - AIS target detail windows for Vessels, AIS Base Stations, and AIS AtoNs
 - Seamless entry to other modules such as data storage, data replay, addressed and broadcast message transmission, and area definition tool","Monitoring of all AIS vessels and AIS AtoN within range is the central focus of the AIS CM utility. Developed for operation in an AIS Base Station network, the AIS CM facilitates the monitoring of all AIS vessels and AIS AtoN (Aid to Navigation) within range. The User Interface has the capability to utilize different types of electronic charts. The AIS CM receives a data stream of VDM messages (vessel data) from AIS Base Stations connected to the network. Key functions include AIS Base Station management, status monitoring, alarm monitoring, configuration, geographical displaying of AIS targets, tabular listing of AIS targets with sorting and filtering functionality, and AIS target detail windows for Vessels, AIS Base Stations, and AIS AtoNs. The User Interface offers a seamless entry to other modules such as data storage, data replay, addressed and broadcast message transmission, and area definition tool.",I don't know,https://www.kongsberg.com/maritime/products/onshore/onshore-systems/ais-network-infrastructure-shorebased/ais-service-management-system/,Surveillance & monitoring
AIS space receivers,,,,,https://www.kongsberg.com/maritime/products/onshore/space-based/ais-space-receiver/,Communication solutions
APOS - Operating station for HiPAP and HPR Acoustic positioning systems,https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/apos-survey---surveyors-independent-operator-station-for-hipap/," - Innovative design
 - Advanced functionality
 - Seamless integration
 - Intuitive operation
 - Versatility for various applications","The product brings significant value to users through its innovative design and advanced functionality. With a focus on user experience, the product offers seamless integration and intuitive operation, enhancing productivity and efficiency. Furthermore, the product's versatility allows for a wide range of applications, making it a valuable asset in various settings."," - Category: Design
   - Parameters: Innovative design
     - Parameter value: Advanced
 - Category: Functionality
   - Parameters: Integration
     - Parameter value: Seamless
   - Parameters: Operation
     - Parameter value: Intuitive
 - Category: Applications
   - Parameters: Versatility
     - Parameter value: Various",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/HiPAP-HPR/,Underwater navigation & positioning
APOS Survey - Surveyor's independent Operator Station for HiPAP,,"APOS Survey offers: 
- Full LBL and SSBL 
- Quicker mobilisation times 
- Designed for both permanent and temporary installation on vessels 
- Direct communication with the HiPAP transceiver 
- Independence from the vessel's Dynamic Positioning (DP) network 
- Interface with local survey grade sensors, IMU, GYRO and GNNS 
- Support for cPAP LBL transceiver for ROV positioning and portable HiPAP transceivers 
- Simultaneous HiPAP transducer alignment for both vessel and APOS Survey system 
- APOS Survey OS version 6 or later 
- Opto isolated serial interface for secure connection to the vessel’s HiPAP 
- Integration with vessels or local survey sensors (GNSS MRU, Gyro) 
- Configuration of lever arms and offsets independent of the vessel 
- Cymbal digital acoustics (500+ channels) 
- Multiple positioning modes: SSBL Fast Track, LBL & Sparse LBL 
- SSBL Alignment and LBL boxin calibration 
- Blue Marble Geodetic Library 
- Interfaces to Subsea HAIN and cPAP LBL ROV Transceiver 
- Interface for ROV pressure and sound velocity sensors 
- Support for industry standard and proprietary NMEA telegrams to HiPAP","APOS Survey offers full LBL and SSBL, quicker mobilisation times and is designed for both permanent and temporary installation on vessels. The software communicates directly with the HiPAP transceiver, enabling the surveyor to operate independently of the bridge. The software safely integrates into the vessels HiPAP system through a high speed, optically-isolated, serial connection to maintain independence from the vessel's Dynamic Positioning (DP) network, and removes restrictions normally associated with operating a HiPAP system for subsea survey purposes. The surveyor can interface local survey grade sensors, IMU, GYRO and GNNS, set up lever arms and load velocity profiles independently of the vessel, unlocking the full potential of HiPAP. The cPAP LBL transceiver for ROV positioning and portable HiPAP transceivers are easily interfaced, providing flexibility for a full range of operations. Both the vessels APOS and APOS Survey can compute position off the same SSBL transponders with independent calculation. HiPAP transducer alignment for both the vessel and APOS Survey system can be run simultaneously. APOS Survey OS version 6 or later, select which of the vessels HiPAP transducers are available for survey, opto isolated serial interface allows a secure connection to the vessel’s HiPAP, use vessels or local survey sensors (GNSS MRU, Gyro), configuration of lever arms and offsets independent of the vessel, cymbal digital acoustics (500+ channels), positioning modes: SSBL Fast Track, LBL & Sparse LBL, SSBL Alignment and LBL boxin calibration, blue marble geodetic library, interfaces to subsea HAIN and cPAP LBL ROV transceiver, interface ROV pressure and sound velocity sensors, industry standard and propriety NMEA telegrams to HiPAP.","MP8300 computer: Type-approved by ABS, BV, CCS, DNV, GL, KR, LR, NKK, PRS and RINA, tested against IACS Unified Requirements E10 and IEC 60945, 8 Port serial card; 4 x RS-232 and 4 x RS-422/485, 4 Gigabit Ethernet ports, 128 GB SSD drive, DVD-RW, Power: 110 - 240 V AC, Connecting to vessel's APOS computer: MOXA NPort 5450I Ethernet to Serial Converter, ASI program: Delivered separately to be loaded into the vessel's APOS computer",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/apos-survey---surveyors-independent-operator-station-for-hipap/,Underwater navigation & positioning
Acoustic control system for BOP operation,,,,,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-control-system/ACS500/,Surveillance & monitoring
Analytics,https://www.kongsberg.com/contentassets/90db5b261a15439e8c200bfc2969308f/datasheet_blueinsight.pdf,"• One-stop solution that provides real-time overview across platforms and data types
• Flexible and scalable, suitable for both small and large organizations
• Open ecosystem building on FAIR data principles
• Allows for deployment of customized machine learning algorithms
• Cyber secure solution","Kongsberg Blue Insight is a digital infrastructure product designed to meet the increasing demand for accurate ocean data. It enables seamless data acquisition, fusion, processing, visualization, contextualization, and management of ocean data. The solution automates the data stream from a wide range of sensors and platform types and visualizes them in a common framework. Through dedicated modules, Blue Insight offers flexibility, security, and robustness required by any ocean data stakeholder, whether scientific, observational, or commercial.",I don't know,https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/analytics/,Cloud solution
Aquaculture monitoring system,https://www.kongsberg.com/contentassets/520f6e01da10469ea53f0398a179973e/km_datsheeta4_aquaculture-monitoring-system_210512.pdf,"Key Features: - Enhanced sensor suite for environmental monitoring - Advanced echo sounders for fish distribution monitoring - Real-time and historical data from integrated sensors - K-Fins operation support tool for situational awareness - Modules for environment, feed, welfare, and birdseye support - KONGSBERG Edge Hardware for secure data capture and transmission","AQUACULTURE MONITORING SYSTEM: The aquaculture monitoring system by KONGSBERG is designed to provide unique insight into environmental conditions, fish behavior, and welfare. It features an enhanced sensor suite for environmental monitoring and advanced echo sounders for monitoring fish distribution both vertically and horizontally. The system offers real-time and historical data from integrated sensors such as cameras, echo sounders, oxygen, temperature, water current profiles, salinity, algae, and turbidity. The sensor data is interpreted and visualized in the K-Fins operation support tool, offering maximum situational awareness at all times. This operation support tool provides modules for environment, feed, welfare, and birdseye, each offering specific support for aquaculture operations. KONGSBERG Edge Hardware ensures the secure capture and transmission of sensor data, with marine-certified global secure network for data transmission.",I don't know,https://www.kongsberg.com/maritime/products/commercial-fisheries/aquaculture-monitoring-systems/aquaculture-monitoring-system/,Ocean science
"Automatic Identification System, AIS",,,,,https://www.kongsberg.com/maritime/products/bridge-systems-and-control-centres/navigation-systems/ais-automatic-identification-sensor/,Surveillance & monitoring
"Autonomous Underwater Vehicle, HUGIN",,,,,https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-hugin/,"Seafloor mapping, Surveillance & monitoring, Naval, Geophysical survey, Autonomous and uncrewed solutions"
