Product_Name,Product category,Introduction,Block1,Block2,Block3,Features,Technical Specifications,url,Data sheets,downloads,product_family_name,is_range
" Seapath 380 - utilising GPS, GLONASS, Galileo, Beidou and QZSS",Seafloor mapping,,,,,"• 0.007° to 0.02° roll and pitch accuracy depending on model
• 2 cm heave accuracy by use of the PFreeHeave algorithms
• Meets IHO special order requirements
• Robust against GNSS dropouts due to the inertial sensor part of the product
• 555-channel dual frequency GPS/GLONASS/Galileo/Beidou receiver HMI Unit
• All available GPS/GLONASS/Galileo/Beidou/QZSS satellites are used in the positioning solution Processing Unit
• Includes ionospheric compensation methods to reduce Sunspot 24 cycle effects
• Fugro XP2/G2/G4/G4+ corrections and RTK supportedGNSS DGNSS corrections (optional)
• RTK corrections format RTCM and CMR supported antennas
• Includes SBAS corrections (WAAS, EGNOS, MSAS, GAGAN) Junction Box
• All data have the same time stamp and to an accuracy of0.001 s to the actual measurement time
• Logging of raw satellite and IMU data possibleMRU","PERFORMANCE POWER SPECIFICATIONS
Heave accuracy (real-time) 5 cm or 5 % whichever is highest
Heave accuracy (delayed signal) 2 cm or 2 % whichever is highest
Heave periods (real-time), except GNSS antenna
Heave periods (real-time), WEIGHTS AND DIMENSIONS
Position accuracy DGNSS 0.5 m RMS or 1 m 95%
CEP GNSS ante nna 0.5 kg, 69 x 185 mm
CEP ENVIRONMENTAL SPECIFICATIONS
Operational temperature range
Processing Unit -15 to +55 ºC
HMI Unit +5 to +35 ºC
Storage temperature range
Processing Unit -20 to +70 ºC
HMI Unit -10 to +40 ºC
UHF radio frequencies (radio not included in standard package) 430 to 470 MHz
Enclosure protection
Communication ports 8 serial RS-232/RS-422 lines and 16 Ethernet IMU IP 66
GNSS antenna IP 66
Cables IP 67
Connectors IP 67
Data update rate Up to 200 Hz
Vibration IEC 60945/EN 60945
Electromagnetic compatibility",,https://www.kongsberg.com/contentassets/c22a596095db4994a5f26ba216b6b968/110-0017978a_datasheet_seapath380_dec22.pdf,{'Data sheet': ['https://www.kongsberg.com/contentassets/c22a596095db4994a5f26ba216b6b968/110-0017978a_datasheet_seapath380_dec22.pdf']},,
12 kHz dual-beam transducer,"Seafloor mapping, Geophysical survey",,,,,"Resonant frequency: 12 kHz
Dual beam transducer
Can be set up for dual or single beam use
Maximum transducer depth: 20 m
Cable length: 20 m
Cable diameter: 12.5 mm
Circular beamwidth: 16 deg (narrow beam) and 60 deg (wide beam)
Directivity: 130 (narrow beam) and 10 (wide beam)
Impedance: Nominal 60 ohms
Transmitting response: 142 dB re 1µPa per V
Receiving sensitivity: -168.5 dB re 1V per µPa
Electroacoustic efficiency: 0.60
Maximum pulse power input: 100 W
Maximum continuous power input: 4 W","Resonant frequency: 12 kHz
Maximum transducer depth: 20 m
Cable length: 20 m
Cable diameter: 12.5 mm
Weight: 84 / 78 kg with/without cable
Storage temperature: -20 to 70 °C
Circular beamwidth: 16 deg (narrow), 60 deg (wide)
Directivity: 130 (narrow), 10 (wide)
Impedance: Nominal 60 ohms
Transmitting response: 142 dB re 1µPa per V
Receiving sensitivity: -168.5 dB re 1V per µPa
Electroacoustic efficiency: 0.60
Maximum pulse power input: 100 W
Maximum continuous power input: 4 W",https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/td_bottommapping/,https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/160920_transducer_12-16_60.pdf,,Single beam bottom mapping transducers,1.0
120 kHz single-beam transducer,"Seafloor mapping, Geophysical survey",,,,,"Resilient Design: Housed in a robust casing, the Simrad 120-25 transducer is engineered to withstand pressures at a depth of 1000m. High Performance: With a resonant frequency of 120 kHz and a maximum input power of 1000W, it delivers reliable performance for marine applications. Wide Beamwidth: The transducer offers a circular beamwidth of 10 deg. ±2 deg., ensuring comprehensive coverage in underwater environments.","Resonant frequency: 120 kHz Maximum input power: 1000 W Beamwidth, circular: 10 deg. ±2 deg. Maximum duty cycle (at maximum power): 5% Directivity index: 25 dB Maximum installation depth: 1000 m Equivalent two-way beam angle (ψ): -17.5 dB Maximum storage temperature: -20 to 70º C Cable length: 25 m Nominal impedance: 60 ohm Cable diameter: 10.9 mm Weight without cable: 4 kg Transmitting response: 176.5 ±2 dB re 1µPa per V Receiving sensitivity (open circuit): -183.0 ±2 dB re 1V per µPa Electroacoustic efficiency: 70 ±20 %",https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/td_bottommapping/,https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/164023_120-25.pdf,,Single beam bottom mapping transducers,1.0
18 kHz single-beam transducer,"Seafloor mapping, Geophysical survey",,,,,"Key Features:
- Resonant frequency: 18 kHz
- Transmitting response: 176 ±2 dB
- Beamwidth: 11 ±2 deg
- Directivity: 300 ±20%
- Electroacoustic efficiency: 0.60 ±0.20
- Maximum pulse power input: 2000 W
- Maximum continuous power input: 100 W
- Transducer depth: 50 m
- Cable length: 20 m
- Cable diameter: 11 mm
- Weight without cable: 85 kg
- Impedance: Nominal value - 60 ohm, Max. variation in |Z| - 45 to 80 ohm, Max. variation phase angle - ±30 deg
- Side lobes: less than -18 dB
- Back radiation: less than -35 dB","Technical Specifications:
- Resonant frequency: 18 kHz
- Transmitting response: 176 ±2 dB (dB re 1µPa per V)
- Circular beamwidth: 11 ±2 deg
- Receiving sensitivity, open circuit: -168 ±2 dB
- Directivity: D - 300 ±20 %, DI=10 log D - 25 ±1 dB
- Maximum pulse power input: 2000 W
- Maximum continuous power input: 100 W
- Transducer depth: 50 m
- Cable length: 20 m, Cable diameter - 11 mm
- Weight without cable: 85 kg
- Impedance: Nominal value - 60 ohm, Max. variation in |Z| - 45 to 80 ohm, Max. variation phase angle - ±30 deg
- Side lobes: less than -18 dB, Back radiation - less than -35 dB",https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/td_bottommapping/,https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/130404ac_18-11_product_specification_english.pdf,,Single beam bottom mapping transducers,1.0
200 kHz single-beam transducer in robust housing,"Seafloor mapping, Geophysical survey",,,,,"200 kHz single-beam transducer
Robust housing
Resonant frequency of 200 kHz
Electroacoustic efficiency of 70 ±20%
Circular beamwidth of 7 deg. ±1 deg.
Maximum input power of 1500 W
Directivity index of 28.5 dB
Maximum duty cycle (at maximum power) of 4%
Cable length of 25 m
Cable diameter of 10.9 mm
Weight without cable of 3.4 kg
Transmitting response of 180.0 ±2 dB re 1µPa per V
Receiving sensitivity (open circuit) of -185.0 ±2 dB re 1V per µPa","Resonant frequency, 200 kHz
Electroacoustic efficiency, 70 ±20%
Beamwidth, circular, 7 deg. ±1 deg.
Maximum input power, 1500 W
Directivity index, 28.5 dB
Maximum duty cycle (at maximum power), 4%
Equivalent two-way beam angle (ψ), -21 dB
Maximum installation depth, 1000 m re 1 steradian
Cable length, 25 m
Cable diameter, 10.9 mm
Weight without cable, 3.4 kg
Transmitting response, 180.0 ±2 dB re 1µPa per V
Receiving sensitivity (open circuit), -185.0 ±2 dB re 1V per µPa",https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/td_bottommapping/,https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/164022_200-28e.pdf,,Single beam bottom mapping transducers,1.0
3710 DGNSS RECEIVER,Surface navigation & positioning,,,,,"• High-performance DGNSS receiver
• Capable of receiving augmentation data from Fugro Satellite Positioning worldwide DGNSS Service
• Enhanced availability DGNSS processing in challenging environments
• Reception from both DGNSS satellite signals and one DGNSS Ethernet signal simultaneously
• Software-defined radio (SDR) signal processing core with advanced algorithms
• True parallel processing of up to two signals
• Unique capability of simultaneously receiving and outputting data from up to three sources
• Integrated 2-line LCD display and keypad for system configuration and status
• Easy software updates via USB
• Ethernet interface
• Serial interface","WEIGHTS AND DIMENSIONS
- Receiver Unit: 44 x 485 x 350 mm (1U), 3.0 kg
- DGNSS antenna: 96 x 150 mm, 1.4 kg
ENVIRONMENTAL SPECIFICATIONS
- Enclosure material: Aluminium (Receiver Unit); Polyurethane coated fibreglass (DGNSS antenna)
- Operating temperature: -15 °C to +55 °C; -30 °C to +70 °C (DGNSS antenna)
- Storage temperature: -20 °C to +70 °C
- Operating humidity: Max. 95% non-condensing; Storage humidity: Less than 55%
- Ingress protection: IP 42 (front), IP 22 (rear/side)
POWER
- Receiver Unit Voltage: 100 to 240 V AC 50/60 Hz, Power consumption: Max 25 W
- DGNSS antenna: 12 V DC from Receiver Unit
EXTERNAL INTERFACES
- Serial port: 1 serial port, RS-232 or RS-422, Baud rate: 115 200 bytes/sec
- Ethernet/LAN: 1
- USB: 1
DATA OUTPUTS
- Message format: Multiplexed (MUX) correction format
- Message type: Multiplexed correction data output with status
RADIO FREQUENCIES
- DGNSS antenna: 1525 to 1559 MHz
",https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/differential-absolute-relative-position-sensor/,https://www.kongsberg.com/contentassets/7162715d5e3941838b97b22c33b57aae/datasheet_dgnss3710.pdf,,GNSS-based Relative Position Sensor,1.0
38 kHz Single-beam transducer,"Seafloor mapping, Geophysical survey",,,,," - Incorporates 88 Tonpilz elements
 - Relatively narrow beam with substantial range capability
 - Circular beamwidth of 7 deg ±1
 - Directivity index of 28 ±1 dB
 - Weighs 40 kg without the cable
 - Nominal impedance of 60 ohms
 - Maximum input power of 4000 W
 - Maximum transducer depth of 50 m","Transducer, 
- Resonant frequency: 38 kHz
- Cable length: 20 m
- Beamwidth: 7 deg ±1
- Cable diameter: 11 mm
- Directivity index: 28 ±1 dB
- Weight without cable: 40 kg
- Equivalant two-way beam angle: -20.5 ±1 dB
- Storage temperature: -20 to 70 °C
- Side lobes: less than -15 dB
- Back radiation: less than -35 dB
- Impedance: Nominal - 60 ohms, Max. variation in |Z| - 45 - 80 ohms, Max variation in phase angle: ±30 deg
- Transmitting response: 185.5 dB ±2 re 1µPa per V
- Receiving sensitivity, open circuit: -170.5 dB ±2 re 1V per µPa
- Electroacoustic efciency: Typical - 0.70, Minimum - 0.50
- Maximum input power: 4000 W
- Maximum duty cycle at max. power: 1%
- Maximum transducer depth: 50 m",https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/td_bottommapping/,https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/164017_38-7.pdf,,Single beam bottom mapping transducers,1.0
50 kHz Single-beam transducer,"Seafloor mapping, Geophysical survey",,,,,"50 kHz Single-beam transducer
Compact design requires little space
Employed extensively with navigational echo sounders
Compatible steel tank and mounting ring available","Resonant frequency: 50 kHz
Maximum continous power input: 10 W
Beamwidth, circular: 18 deg ±3
Maximum transducer depth: 10 m
Directivity: Cable length: 20 m
D: 100 ±20%
DI=10logD: 20 ±1 dB
Weight without cable: 2 kg
Weight with cable: 5.5 kg
Storage temperature: -20 to 70 °C
Impedance: Nominal: 60 ohms
Max. variation in |Z|: 45 - 80 ohms
Max variation in phase angle: ±30 deg
Transmitting response: 207 dB ±2 re 1µPa per A
Receiving sensitivity, open circuit: -181 dB ±2 re 1V per µPa
Electroacoustic efciency: 0.70 ±0.20
Maximum pulse power input: 500 W",https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/td_bottommapping/,https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/160965ab.pdf,,Single beam bottom mapping transducers,1.0
500 KHZ TRANSDUCER,"Seafloor mapping, Geophysical survey",,,,," - Resonant frequency of 500 kHz
 - Circular beam width of 3 º
 - High bandwidth with a Q value of 2.3
 - Maximum pulse power input of 500 W @ 2% duty cycle
 - Maximum transducer depth of 10 m
 - Cable length of 10 m
 - Cable diameter of 7.0 mm
 - Operational temperature range of -6 to +48 ºC
 - Storage temperature range of -20 to +70 ºC
 - Beam pattern showcasing performance across various beamwidths","Category: Frequency
Parameters: Resonant frequency
Parameter value: 500 kHz

Category: Beam Width
Parameters: Circular beam width
Parameter value: 3 º

Category: Power
Parameters: Maximum pulse power input
Parameter value: 500 W @ 2% duty cycle

Category: Depth
Parameters: Maximum transducer depth
Parameter value: 10 m

Category: Cable
Parameters: Cable length
Parameter value: 10 m

Category: Cable
Parameters: Cable diameter
Parameter value: 7.0 mm

Category: Temperature
Parameters: Operational temperature
Parameter value: -6 to +48 ºC

Category: Temperature
Parameters: Storage temperature
Parameter value: -20 to +70 ºC",https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/td_bottommapping/,https://www.kongsberg.com/contentassets/d106c9aa05de423a8b02cf5fae6d6ad1/422109-transducer-500khz-data-sheet.pdf,,Single beam bottom mapping transducers,1.0
ACS500,Surveillance & monitoring,,,,,"Key Features 
- New generation Acoustic Control System
- Rated to 4000 meters operational depth
- Two units: Surface system and Subsea system
- Multiple applications: Emergency BOP backup control system, Pipeline Valve Control, Workover system, Offshore loading, Other subsea control systems
- Portable and certified Acoustic Command Unit
- Dunking Transducer Unit suitable for various water depths
- Multiple interface options for the valve package
- Environmental operating temperature range: -5 to +55°C","Technical Specifications
- Operating frequency: 21-31 kHz
- SCU Weight in air: 20 kg
- ACU Material: Super Duplex Steel
- Operating depth (max): 4000 m
- Battery Mounting bracket Weight: 5.9 kg
- Electronic details: Weight: 22 kg, Number of batteries: 1, Input voltage: 100 to 240 VAC, Cells per battery: 48
- Transmission power (max): 300 W
- Total battery energy content: 128 Ah
- Standard and Certificates: DNV-OS-E101, API 16D",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-control-system/ACS500/,https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/acs500-emergency-acoustic-bop-control-system/,,Acoustic control system for BOP operation,1.0
