url,Product_Name,Data sheet 1,Data sheet 2,Data sheet 3,Data sheet 4,Data sheet 5,Data sheet 6,Data sheet 7,Data sheet 8,Data sheet 9,Data sheet 10,Data sheet 11,Data sheet 12,Data sheet 13,Data sheet 14,Data sheet 15,Data sheet 16
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-control-system/ACS500/,Acoustic control system for BOP operation,https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/acs500-emergency-acoustic-bop-control-system/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/acs500-transducer-selection-guide/,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/onshore/onshore-systems/ais-network-infrastructure-shorebased/ais-physical-shore-stations/,AIS physical shore stations,https://www.kongsberg.com/contentassets/ce398b77c82a49b78da71cab3dbe06ab/datasheet_aisbs600.pdf, https://www.kongsberg.com/contentassets/ce398b77c82a49b78da71cab3dbe06ab/411069d_ds_aisbs610_dec22.pdf, https://www.kongsberg.com/contentassets/ce398b77c82a49b78da71cab3dbe06ab/datasheet_aisaq610.pdf, https://www.kongsberg.com/contentassets/ce398b77c82a49b78da71cab3dbe06ab/datasheet_aisrx610.pdf,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/onshore/space-based/ais-space-receiver/,AIS space receivers,https://www.kongsberg.com/contentassets/6a9f1eb8cd5647959847f9d32783b09a/datasheet_asr_c50.pdf, https://www.kongsberg.com/contentassets/6a9f1eb8cd5647959847f9d32783b09a/datasheet_asrx50.pdf,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/bridge-systems-and-control-centres/navigation-systems/ais-automatic-identification-sensor/,"Automatic Identification System, AIS",https://www.kongsberg.com/contentassets/abc742e411b04f1ab77096bc04194195/datasheet_ais300.pdf, https://www.kongsberg.com/contentassets/abc742e411b04f1ab77096bc04194195/datasheet_ais300s.pdf, https://www.kongsberg.com/contentassets/abc742e411b04f1ab77096bc04194195/datasheet_ais300bf.pdf, https://www.kongsberg.com/contentassets/abc742e411b04f1ab77096bc04194195/datasheet_mfd307.pdf,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-hugin/,"Autonomous Underwater Vehicle, HUGIN",https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/hugin-product-specification/, https://www.kongsberg.com/contentassets/9a7a2014928540309caa9552b55e4b42/01.marine-robots-2p-03.09.21.pdf,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Maxi/,cNODE Maxi - Transponder,https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/cnode-maxi-and-midi-transponders---medium-frequency-4000m/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/cnode-gyro-endcap-module/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/cnode-sound-velocity-pressure-and-inclinometer-sensor-module/,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/,cNODE Micro - Transponder,https://www.kongsberg.com/contentassets/8cc479c87025451288686c14a0dad04c/435239d-cnode-micro-battery-safety.pdf, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/cnode-micro-transponder/,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Midi/,cNODE Midi - Transponder,https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/cnode-gyro-endcap-module/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/cnode-maxi-and-midi-transponders---medium-frequency-4000m/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/cnode-sound-velocity-pressure-and-inclinometer-sensor-module/,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/,cNODE MiniS - Transponder,https://www.kongsberg.com/contentassets/3430e6ff5b7348c884fff37922f5aa63/407452f-cnode-minis-datasheet.pdf, https://www.kongsberg.com/contentassets/3430e6ff5b7348c884fff37922f5aa63/469265a-cnode-minis-p-datasheet.pdf, https://www.kongsberg.com/contentassets/3430e6ff5b7348c884fff37922f5aa63/467422a-cnode-minis-s-datasheet.pdf, https://www.kongsberg.com/contentassets/3430e6ff5b7348c884fff37922f5aa63/490531_a-cnode-minis-1.11-50v-datasheet.pdf,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/onshore/onshore-systems/dgps-dgnss-reference-and-monitoring-stations/,DGPS / DGNSS reference and monitoring stations,https://www.kongsberg.com/contentassets/bb1c51497aac427ead65bcd68a658b3e/productsheet_dgnss_cm.pdf, https://www.kongsberg.com/contentassets/bb1c51497aac427ead65bcd68a658b3e/datasheet_drs-ims_500.pdf,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/EA440/,EA440 - shallow and medium waters,https://www.kongsberg.com/contentassets/fa9cd40ee299462dbda53e5e12f73de2/323029e-ea440-datasheet.pdf, https://www.kongsberg.com/contentassets/fa9cd40ee299462dbda53e5e12f73de2/418374d-ea440-splashproof-datasheet.pdf, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/ea440-wide-band-hydrographic-echo-sounder-de.pdf, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/sonar-mosaic_datasheet_en.pdf, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/sonar-mosaic_datasheet_de.pdf,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/es_bottommapping/echosounder-sweep-system/,"Echo sounder sweep system, MCU",https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/ea-mcu---flachenecholot/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/single-beam-echo-sounder-sweep-system_ea-mcu/, https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/single-beam-operator-station-hydrographic-operator-station/,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/multibeam-echo-sounders/em-124-multibeam-echosounder-max.-11000-m,"EM 124 Multibeam echosounder, Max. 11000 m",https://www.kongsberg.com/globalassets/maritime/km-products/product-documents/em-124-multibeam-echo-sounder/, https://www.kongsberg.com/contentassets/fc4a27883f1d4d3a86775c4f483b323b/464489ae_hws_mc3xx_data_sheet_02.pdf, https://www.kongsberg.com/contentassets/fc4a27883f1d4d3a86775c4f483b323b/446295c_sis5_data_sheet.pdf, https://www.kongsberg.com/contentassets/fc4a27883f1d4d3a86775c4f483b323b/01.sis-remote-2p-26.05.21.pdf,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/multibeam-echo-sounders/em-304-mkii-multibeam-echosounder/,EM 304 MKII Multibeam echosounder,https://www.kongsberg.com/contentassets/37b2b502e3d549d6ab66dcd5d551e750/463787aa_em304_mkii_data_sheet.pdf, https://www.kongsberg.com/contentassets/82c5f66cc036430d85e1b9edf32fbe0b/464489ae_hws_mc3xx_data_sheet_02.pdf, https://www.kongsberg.com/contentassets/82c5f66cc036430d85e1b9edf32fbe0b/446295c_sis5_data_sheet.pdf, https://www.kongsberg.com/contentassets/82c5f66cc036430d85e1b9edf32fbe0b/01.sis-remote-2p-26.05.21.pdf,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/multibeam-echo-sounders/em-712-multibeam-echosounder-max.-3600-m,"EM 712 Multibeam echosounder, Max. 3600 m",https://www.kongsberg.com/contentassets/2c197a1f0a33461b9642276e31b67fb7/datasheet_em_712.pdf, https://www.kongsberg.com/contentassets/2c197a1f0a33461b9642276e31b67fb7/464489ae_hws_mc3xx_data_sheet_02.pdf, https://www.kongsberg.com/contentassets/2c197a1f0a33461b9642276e31b67fb7/446295c_sis5_data_sheet.pdf, https://www.kongsberg.com/contentassets/2c197a1f0a33461b9642276e31b67fb7/01.sis-remote-2p-26.05.21.pdf,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/gnss-compass-and-position-sensor/,GNSS compass and position sensor,https://www.kongsberg.com/contentassets/0d2751ec14f74850bf4106ace4472d5f/datasheet_seanav300.pdf, https://www.kongsberg.com/globalassets/maritime/snr-files/mfd/datasheet_mfd307_aug18.pdf,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/dps/,GNSS/DGNSS Position Sensors,https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dpsi1_aug22.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/443866f_ds_dpsi2.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/110-0048136_ds_a---dpsi3.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/110-0012621b_dpsi4_ds_oct22.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/110-0048137_ds_a---dpsi6.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dps5d.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dgnss3710.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dpsdisplayunit.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dps112.pdf, https://www.kongsberg.com/contentassets/194b748672de4f2f9f1104774e91abd6/datasheet_dps114.pdf,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/differential-absolute-relative-position-sensor/,GNSS-based Relative Position Sensor,https://www.kongsberg.com/contentassets/7162715d5e3941838b97b22c33b57aae/110-0042313a_datasheet_darps232_jun23.pdf, https://www.kongsberg.com/contentassets/7162715d5e3941838b97b22c33b57aae/datasheet_darps900b.pdf, https://www.kongsberg.com/contentassets/7162715d5e3941838b97b22c33b57aae/datasheet_dgnss3710.pdf,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/motion-and-heading-sensors/helideck-monitoring-system/,Helideck Monitoring System,https://www.kongsberg.com/contentassets/587a526dc451456eb14a0eb82c31554d/471738b_ds_hms300_oct22.pdf, https://www.kongsberg.com/contentassets/587a526dc451456eb14a0eb82c31554d/datasheet_avr100.pdf,,,,,,,,,,,,,,
https://www.kongsberg.com/maritime/products/vessel-reference-systems/position-systems/laser-based-position-reference-system/,Laser-based relative position sensor,https://www.kongsberg.com/contentassets/1a091b5424194147b3b80f43f250ed72/datasheet_spottrack.pdf, https://www.kongsberg.com/contentassets/1a091b5424194147b3b80f43f250ed72/datasheet_spottrackprisms.pdf,,,,,,,,,,,,,,
