url,Product_Name,Data sheets,downloads
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-control-system/ACS500/,Acoustic control system for BOP operation,,"{'Data sheet': ['/globalassets/maritime/km-products/product-documents/acs500-emergency-acoustic-bop-control-system/', '/globalassets/maritime/km-products/product-documents/acs500-transducer-selection-guide/'], 'Manual': ['/globalassets/maritime/km-products/product-documents/acs500-instruction-manual-gisma-test-ports/', '/globalassets/maritime/km-products/product-documents/acs500-instruction-manual-macartney-test-ports/', '/globalassets/maritime/km-products/product-documents/acs500-instruction-manual/'], 'Reference guide': ['/globalassets/maritime/km-products/product-documents/acu30-quick-reference-guide-for-acs500-system/'], 'Safety Data Sheet': ['/globalassets/maritime/km-products/product-documents/454603_cnode_maxi_midi_safety_data_sheet.pdf'], 'Software release note': ['/globalassets/maritime/km-products/product-documents/acs-control/']}"
https://www.kongsberg.com/maritime/products/onshore/onshore-systems/ais-network-infrastructure-shorebased/ais-physical-shore-stations/,AIS physical shore stations,,"{'Brochure': ['~/link/349428ca632f4f61922083bee798e1e7.aspx'], 'Data sheets': ['/contentassets/ce398b77c82a49b78da71cab3dbe06ab/datasheet_aisbs600.pdf', '/contentassets/ce398b77c82a49b78da71cab3dbe06ab/411069d_ds_aisbs610_dec22.pdf', '/contentassets/ce398b77c82a49b78da71cab3dbe06ab/datasheet_aisaq610.pdf', '/contentassets/ce398b77c82a49b78da71cab3dbe06ab/datasheet_aisrx610.pdf']}"
https://www.kongsberg.com/maritime/products/onshore/onshore-systems/ais-network-infrastructure-shorebased/ais-service-management-system/,AIS service management system,,{}
https://www.kongsberg.com/maritime/products/onshore/space-based/ais-space-receiver/,AIS space receivers,"https://www.kongsberg.com/contentassets/6a9f1eb8cd5647959847f9d32783b09a/datasheet_asr_c50.pdf, https://www.kongsberg.com/contentassets/6a9f1eb8cd5647959847f9d32783b09a/datasheet_asrx50.pdf","{'Data sheets': ['/contentassets/6a9f1eb8cd5647959847f9d32783b09a/datasheet_asr_c50.pdf', '/contentassets/6a9f1eb8cd5647959847f9d32783b09a/datasheet_asrx50.pdf']}"
https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/analytics/,Analytics,https://www.kongsberg.com/contentassets/90db5b261a15439e8c200bfc2969308f/datasheet_blueinsight.pdf,{'DATA SHEET': ['/contentassets/90db5b261a15439e8c200bfc2969308f/datasheet_blueinsight.pdf']}
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/HiPAP-HPR/,APOS - Operating station for HiPAP and HPR Acoustic positioning systems,,"{'Application note': ['/contentassets/c8ed4213f5cc4e05b1a9da40928e42ba/application-note-transducer-alignment_version-2.pdf', '/globalassets/maritime/km-products/product-documents/339312_technical_bulletin_setting_up_2_lbl_arrays_in_apos.pdf', '/globalassets/maritime/km-products/product-documents/hipap-application-note-sparse-lbl.pdf', '/globalassets/maritime/km-products/product-documents/tow-fish-tracking/'], 'Brochure': ['~/link/349428ca632f4f61922083bee798e1e7.aspx'], 'Data sheet': ['/globalassets/maritime/km-products/product-documents/apos-survey---surveyors-independent-operator-station-for-hipap/'], 'Information letter': ['/globalassets/maritime/km-products/product-documents/430801-hipap-sw-lbl-positioning-info-letter.pdf', '/globalassets/maritime/km-products/product-documents/415197-mean-sound-velocity-info-letter.pdf', '/contentassets/48b763f56d4c431e9d1fe60be9d5f176/365427n-poscom-support-limitations.pdf'], 'Manual': ['/globalassets/maritime/km-products/product-documents/403549f-apos-survey-ins.pdf', '/globalassets/maritime/km-products/product-documents/apos-for-hipap-model-501_451_351_101-instruction-manual/', '/globalassets/maritime/km-products/product-documents/160925af_apos_for_hpr_400_series_complete_instruction_manual.pdf', '/globalassets/maritime/km-products/product-documents/binary-communication-protocol-hpr-400/'], 'Product leaflet': ['/globalassets/maritime/km-products/product-documents/apos-trainer/'], 'Software release note': ['/globalassets/maritime/km-products/product-documents/388797.pdf', '/contentassets/a1a3d8203e4f4d18b7dbb6aa4f97968e/apos-6_10_1-software-release-note.pdf'], 'User procedures': ['/globalassets/maritime/km-products/product-documents/hipap-sparse-lbl---user-procedure/']}"
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/apos-survey---surveyors-independent-operator-station-for-hipap/,APOS Survey - Surveyor's independent Operator Station for HiPAP,,{}
https://www.kongsberg.com/maritime/products/commercial-fisheries/aquaculture-monitoring-systems/aquaculture-monitoring-system/,Aquaculture monitoring system,https://www.kongsberg.com/contentassets/520f6e01da10469ea53f0398a179973e/km_datsheeta4_aquaculture-monitoring-system_210512.pdf,{'Data sheet': ['/contentassets/520f6e01da10469ea53f0398a179973e/km_datsheeta4_aquaculture-monitoring-system_210512.pdf']}
https://www.kongsberg.com/maritime/products/bridge-systems-and-control-centres/navigation-systems/ais-automatic-identification-sensor/,"Automatic Identification System, AIS","https://www.kongsberg.com/contentassets/abc742e411b04f1ab77096bc04194195/datasheet_ais300.pdf, https://www.kongsberg.com/contentassets/abc742e411b04f1ab77096bc04194195/datasheet_ais300s.pdf, https://www.kongsberg.com/contentassets/abc742e411b04f1ab77096bc04194195/datasheet_ais300bf.pdf, https://www.kongsberg.com/contentassets/abc742e411b04f1ab77096bc04194195/datasheet_mfd307.pdf","{'Data sheets': ['/contentassets/abc742e411b04f1ab77096bc04194195/datasheet_ais300.pdf', '/contentassets/abc742e411b04f1ab77096bc04194195/datasheet_ais300s.pdf', '/contentassets/abc742e411b04f1ab77096bc04194195/datasheet_ais300bf.pdf', '/contentassets/abc742e411b04f1ab77096bc04194195/datasheet_mfd307.pdf']}"
https://www.kongsberg.com/maritime/products/marine-robotics/autonomous-underwater-vehicles/AUV-hugin/,"Autonomous Underwater Vehicle, HUGIN",https://www.kongsberg.com/contentassets/9a7a2014928540309caa9552b55e4b42/01.marine-robots-2p-03.09.21.pdf,"{'Course description': ['/globalassets/maritime/km-products/product-documents/auv-management-course.pdf'], 'Data sheet': ['/globalassets/maritime/km-products/product-documents/hugin-product-specification/', '/contentassets/9a7a2014928540309caa9552b55e4b42/01.marine-robots-2p-03.09.21.pdf'], 'Paper': ['/globalassets/maritime/km-products/product-documents/hugin-auv-concept-and-operational-experiences-to-date/'], 'Product leaflet': ['/globalassets/maritime/km-products/product-documents/the-complete-modular-and-portable-mcm-system/']}"
