url,Product_Name,Data sheets,Scraped Text,General text,Features,Technical Specifications
https://www.kongsberg.com/maritime/products/onshore/onshore-systems/ais-network-infrastructure-shorebased/ais-service-management-system/,AIS service management system,,"
AIS Central Monitor (AIS CM)



Monitoring of all AIS vessels and AIS AtoN within range

The AIS CM is a utility developed in order to operate an AIS Base Station network including monitoring of all AIS vessels and AIS AtoN (Aid to Navigation) within range. The User Interface can utilize different types of electronic charts.
The AIS CM is receiving a data stream of VDM messages (vessel data) received by AIS Base Stations connected to the network.
Main functions

AIS Base Station management incl. status monitoring, alarm monitoring and configuration.
Geographical displaying of AIS targets (Vessels, AIS Base Stations and AIS AtoN) as an electronic map overlay
A tabular listing of AIS targets incl. sorting and filtering functionality
AIS target detail window (Vessels, AIS Base Stations, AIS AtoNs)

The User Interface will provide a seamless entry to other modules like data storage, data replay, addressed and broadcast message transmission, area definition tool etc.
","Monitoring of all AIS vessels and AIS AtoN within range is the central focus of the AIS CM utility. Developed for operation in an AIS Base Station network, the AIS CM facilitates the monitoring of all AIS vessels and AIS AtoN (Aid to Navigation) within range. The User Interface has the capability to utilize different types of electronic charts. The AIS CM receives a data stream of VDM messages (vessel data) from AIS Base Stations connected to the network. Key functions include AIS Base Station management, status monitoring, alarm monitoring, configuration, geographical displaying of AIS targets, tabular listing of AIS targets with sorting and filtering functionality, and AIS target detail windows for Vessels, AIS Base Stations, and AIS AtoNs. The User Interface offers a seamless entry to other modules such as data storage, data replay, addressed and broadcast message transmission, and area definition tool."," - Monitoring of all AIS vessels and AIS AtoN within range
 - Utilizes different types of electronic charts
 - Receives a data stream of VDM messages from AIS Base Stations
 - AIS Base Station management
 - Geographical displaying of AIS targets
 - Tabular listing of AIS targets with sorting and filtering functionality
 - AIS target detail windows for Vessels, AIS Base Stations, and AIS AtoNs
 - Seamless entry to other modules such as data storage, data replay, addressed and broadcast message transmission, and area definition tool",I don't know
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/apos-survey---surveyors-independent-operator-station-for-hipap/,APOS Survey - Surveyor's independent Operator Station for HiPAP,,"APOS Survey offers full LBL and SSBL, quicker mobilisation times and is designed for both permanent and temporary installation on vessels. The software communicates directly with the HiPAP transceiver, enabling the surveyor to operate independently of the bridge. The software safely integrates into the vessels HiPAP system through a high speed, optically-isolated, serial connection to maintain independence from the vessel's Dynamic Positioning (DP) network, and removes restrictions normally associated with operating a HiPAP system for subsea survey purposes.
The surveyor can interface local survey grade sensors, IMU, GYRO and GNNS, set up lever arms and load velocity profiles independently of the vessel, unlocking the full potential of HiPAP. The cPAP LBL transceiver for ROV positioning and portable HiPAP transceivers are easily interfaced, providing flexibility for a full range of operations. Both the vessels APOS and APOS Survey can compute position off the same SSBL transponders with independent calculation. HiPAP transducer alignment for both the vessel and APOS Survey system can be run simultaneously.
Features

APOS Survey OS version 6 or later
Select which of the vessels HiPAP transducers are available for survey
Opto isolated serial interface allows a secure connection to the vessel’s HiPAP
Use vessels or local survey sensors (GNSS MRU, Gyro)
Configuration of lever arms and offsets independent of the vessel
Cymbal digital acoustics (500+ channels)
Positioning modes: SSBL Fast Track, LBL & Sparse LBL
SSBL Alignment and LBL boxin calibration
Blue Marble Geodetic Library
Interfaces to Subsea HAIN and cPAP LBL ROV Transceiver
Interface ROV pressure and sound velocity sensors
Industry standard and propriety NMEA telegrams to HiPAP

echnical specification
MP8300 computer

Type-approved by ABS, BV, CCS, DNV, GL, KR, LR, NKK, PRS and RINA
Tested against IACS Unified Requirements E10 and IEC 60945
8 Port serial card; 4 x RS-232 and 4 x RS-422/485
4 Gigabit Ethernet ports
128 GB SSD drive, DVD-RW

Power

110 - 240 V AC

Connecting to vessel's apos computer

MOXA NPort 5450I Ethernet to Serial Converter

ASI program

Delivered separately to be loaded into the vessel's APOS computer


RELATED INFORMATION

HiPAP operating principles
HiPAP applications and features

","APOS Survey offers full LBL and SSBL, quicker mobilisation times and is designed for both permanent and temporary installation on vessels. The software communicates directly with the HiPAP transceiver, enabling the surveyor to operate independently of the bridge. The software safely integrates into the vessels HiPAP system through a high speed, optically-isolated, serial connection to maintain independence from the vessel's Dynamic Positioning (DP) network, and removes restrictions normally associated with operating a HiPAP system for subsea survey purposes. The surveyor can interface local survey grade sensors, IMU, GYRO and GNNS, set up lever arms and load velocity profiles independently of the vessel, unlocking the full potential of HiPAP. The cPAP LBL transceiver for ROV positioning and portable HiPAP transceivers are easily interfaced, providing flexibility for a full range of operations. Both the vessels APOS and APOS Survey can compute position off the same SSBL transponders with independent calculation. HiPAP transducer alignment for both the vessel and APOS Survey system can be run simultaneously. APOS Survey OS version 6 or later, select which of the vessels HiPAP transducers are available for survey, opto isolated serial interface allows a secure connection to the vessel’s HiPAP, use vessels or local survey sensors (GNSS MRU, Gyro), configuration of lever arms and offsets independent of the vessel, cymbal digital acoustics (500+ channels), positioning modes: SSBL Fast Track, LBL & Sparse LBL, SSBL Alignment and LBL boxin calibration, blue marble geodetic library, interfaces to subsea HAIN and cPAP LBL ROV transceiver, interface ROV pressure and sound velocity sensors, industry standard and propriety NMEA telegrams to HiPAP.","APOS Survey offers: 
- Full LBL and SSBL 
- Quicker mobilisation times 
- Designed for both permanent and temporary installation on vessels 
- Direct communication with the HiPAP transceiver 
- Independence from the vessel's Dynamic Positioning (DP) network 
- Interface with local survey grade sensors, IMU, GYRO and GNNS 
- Support for cPAP LBL transceiver for ROV positioning and portable HiPAP transceivers 
- Simultaneous HiPAP transducer alignment for both vessel and APOS Survey system 
- APOS Survey OS version 6 or later 
- Opto isolated serial interface for secure connection to the vessel’s HiPAP 
- Integration with vessels or local survey sensors (GNSS MRU, Gyro) 
- Configuration of lever arms and offsets independent of the vessel 
- Cymbal digital acoustics (500+ channels) 
- Multiple positioning modes: SSBL Fast Track, LBL & Sparse LBL 
- SSBL Alignment and LBL boxin calibration 
- Blue Marble Geodetic Library 
- Interfaces to Subsea HAIN and cPAP LBL ROV Transceiver 
- Interface for ROV pressure and sound velocity sensors 
- Support for industry standard and proprietary NMEA telegrams to HiPAP","MP8300 computer: Type-approved by ABS, BV, CCS, DNV, GL, KR, LR, NKK, PRS and RINA, tested against IACS Unified Requirements E10 and IEC 60945, 8 Port serial card; 4 x RS-232 and 4 x RS-422/485, 4 Gigabit Ethernet ports, 128 GB SSD drive, DVD-RW, Power: 110 - 240 V AC, Connecting to vessel's APOS computer: MOXA NPort 5450I Ethernet to Serial Converter, ASI program: Delivered separately to be loaded into the vessel's APOS computer"
https://www.kongsberg.com/maritime/products/marine-robotics/underwater-vehicle-instruments/single-beam-scanning-sonars/domed-scanning-sonar/,Domed Scanning Sonar,,"Domed Sonar Background
In the 1990s, designers enclosed the transducer in an oil-filled dome to provide mechanical protection and eliminate flooding due to O-ring failure on the traditional exposed transducer shaft. While the oil-filled dome solved the O-ring flooding failures, it introduced beam defocusing in two conditions, warm & shallow and cold & deep. The beam defocusing effect becomes more extreme in warm shallow water as temperature increases and cold deep water as depth increases. Until now, there has been no solution to this problem, aside from using a high-resolution scanning sonar head.
Our engineers solved this problem by designing a patented acoustic lens that maintains beam focus through operational temperature and depth changes, significantly improving sonar performance and resulting in images that are much sharper. The Clariscan acoustic lens behaves like an optical contact lens, correcting the refraction caused by the oil in the dome.
Clariscan is currently available in a 4000M depth-rated version.
Applications

Obstacle avoidance
Pipeline survey
Target detection
Underwater construction support

Data Comparison
Clariscan Sonar vs. Standard Sonar with Composite Transducer
Deep water testing in the Gulf of Mexico clearly showed the difference in image quality between the Clariscan sonar head and the standard domed sonar with composite transducer. The two sonar heads were mounted side by side on an ROV and thus exposed to the same temperature, pressure and salinity conditions, and were operated simultaneously during image capture.
The three images below clearly show the image quality of the Clariscan sonar (left image) is superior and rivals that of a high-resolution scanning sonar head.


Data Comparison 1: Clariscan (left) – Standard sonar with composite transducer (right).



Data Comparison 2: Clariscan (left) – Standard sonar with composite transducer (right).



Data Comparison 3: Clariscan (left) – Standard sonar with composite transducer (right).

","Domed Sonar Background: In the 1990s, designers enclosed the transducer in an oil-filled dome to provide mechanical protection and eliminate flooding due to O-ring failure on the traditional exposed transducer shaft. While the oil-filled dome solved the O-ring flooding failures, it introduced beam defocusing in two conditions, warm & shallow and cold & deep. Our engineers solved this problem by designing a patented acoustic lens that maintains beam focus through operational temperature and depth changes, significantly improving sonar performance and resulting in images that are much sharper. Clariscan is currently available in a 4000M depth-rated version. Applications: Clariscan is suitable for obstacle avoidance, pipeline survey, target detection, and underwater construction support. Data Comparison: Deep water testing in the Gulf of Mexico clearly showed the difference in image quality between the Clariscan sonar head and the standard domed sonar with composite transducer.",Key Features: - Patented acoustic lens design - Maintains beam focus through operational temperature and depth changes - Significantly improves sonar performance - Available in a 4000M depth-rated version,I don't know
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/ekmp/,EK Mission Planner,,"This EK mission planner is a planning and programming tool for autonomous echo sounders such as Simrad WBAT and Simrad WBT Mini. You can set up all necessary parameters related to ""wakeup"" and ""sleep"" times for the echo sounder, as well as transmission modes, intervals, and other parameters.
After you have planned the deployment carefully, all settings are uploaded to the transceiver.


In addition to running a predefine schedule, you can first use the EK Mission Planner to define the ping configurations and send these to the instrument. Then you can use the ""interactive mode"" (or ""command mode"" if you like) to control the transmissions from an external source such as an onboard controller. ""Interactive mode"" also enables the reading of key information such as mean volume backscattering strength in layers in real-time.


Key Features

Control of all necessary parameters needed to  program a mission plan
The mission plan is set by programming in Ping Groups, Ping Group Libraries, Phases, and Ensembles
License-free software 

Typical applications

Ocean observatories
Fish migration studies
Long-term biological studies
Improved fish stock assessment
Water column profiling

When making a mission plan you start by selecting the transducer(s) you will use for the deployment. The next step is to define ping groups, i.e. all parameters for a ping, such as CW (Continuous Wave) versus FM (Frequency Modulated), pulse duration, transmit power, and so on. The third step is to define the duration of the deployment which can be divided into several phases. Usually, it's sufficient to use only one single phase. The last step in the mission planning is to put the ping groups you defined into ensembles. You can choose if the ensembles shall be repeated for a fixed number of iterations or for as many times as possible within the time span you choose. After planning the mission, you can set the environmental parameters. After completing these steps, you are ready to connect to the transceiver, send the mission plan to the transceiver and deploy.

","The EK mission planner is designed to be a planning and programming tool for autonomous echo sounders like Simrad WBAT and Simrad WBT Mini. It allows you to set up all necessary parameters related to 'wakeup' and 'sleep' times, transmission modes, intervals, and other parameters. The planner enables you to upload all the carefully planned settings to the transceiver. In addition to running a predefine schedule, the EK Mission Planner allows defining ping configurations and control transmissions from an external source using the 'interactive mode'. This mode also enables real-time reading of key information. When making a mission plan, the process involves selecting the transducers, defining ping groups, configuring deployment duration, and setting ensembles. After completing the planning steps, you can connect to the transceiver, send the mission plan, and deploy.","Control of all necessary parameters needed to program a mission plan, The mission plan is set by programming in Ping Groups, Ping Group Libraries, Phases, and Ensembles, License-free software",I don't know
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/ek80software/,EK80 software,,"Based on more than 60 years of research and development in close collaboration with leading marine scientists, this wide band echo sounder system has succeeded the famous EK60, which became an international standard for fish stock assessment. The EK80 is now a wideband system with an operational range from 10 kHz to 500 kHz. The extreme range resolution and improved target characterization allow for a wide range of oceanographic applications.


A wide selection of high-quality accurate surface- and depth transceivers and transducers are available for a flexible system, capable of integration on sensor platforms from small to large.
Real-time echo integration and target strength analysis in an unlimited number of layers are provided as well as storage of raw data for replay or analysis in one of several post-processing software packages. 
The Ocean Science product EK80 has a defined and publicly available output format which is specified in the product’s interface description. For post-processing of the output data we refer you to this documentation, or use commercially available software applications like for example Echoview.

(A) Top bar gives you fast access to key functionality and navigational information.(B) Replay bar allows you to retrieve saved files and control the playback.(C) Echogram views(D) Information panes provide additional and detailed data from the EK80 presentation.(E) Main menu system(F) Secondary menus(G) Bottom bar


Key Features

High dynamic range
Raw data recording
High ping rate
Multifrequency application for species identification
Simultaneous transmission of all frequencies
Several frequencies covering the same sampling volume
Wideband frequency sweep (""chirp"") in combination with advanced signal processing gives an exceptionally good signal to noise ratio and range resolution
Echo sounder calibration module included
Remote control via web interface
Store and reload personal settings
Network interface for raw data recording
Acoustic Doppler Current Profiler (ADCP) functionality
License-free software for replay purposes

Typical applications

Ocean Observatories
Fish migration studies
Long-term biological studies
Improved fish stock assessment
Oceanographical studies
Water column profiling

Example data
A set of data files in the EK80 .raw format can be downloaded for tests and training. The files are provided in ZIP format, and each contains a selection of example files. Note that each file is rather big.

","Ocean Science has developed the EK80, a wideband echo sounder system that has replaced the EK60, which was previously an international standard for fish stock assessment. The EK80 operates in a wide frequency range from 10 kHz to 500 kHz, offering enhanced range resolution and target characterization for various oceanographic applications. It provides real-time echo integration, target strength analysis, and storage of raw data for post-processing. The system also offers a selection of high-quality transceivers and transducers for integration on sensor platforms of different sizes. Additionally, it features a defined output format and can be controlled remotely via a web interface, making it suitable for applications such as ocean observatories, fish migration studies, and long-term biological studies.","• High dynamic range
• Raw data recording
• High ping rate
• Multifrequency application for species identification
• Simultaneous transmission of all frequencies
• Several frequencies covering the same sampling volume
• Wideband frequency sweep (""chirp"") with advanced signal processing
• Echo sounder calibration module included
• Remote control via web interface
• Store and reload personal settings
• Network interface for raw data recording
• Acoustic Doppler Current Profiler (ADCP) functionality
• License-free software for replay purposes",I don't know
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherysounder/td_fishfinding/,Fish-finding transducers,,"The transducer is the subsea element of the echo sounder. Our transducers are characterised by high quality, precision and accuracy. The frequencies cover from extreme shallow water to full ocean depth.











","Our transducers are characterized by high quality, precision, and accuracy. The frequencies cover from extreme shallow water to full ocean depth.",I don't know,I don't know
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/scientific-multibeam-systems/me70/,ME70 multibeam echo sounder,,"The ME70 is designed for fishery research applications. It operates in the frequency range of 70 to 120 kHz using 800 transmitting and receiving channels. By adding bathymetry functionality to the standard system, the ME70 also provides high resolution seabed mapping.






(A) Top bar gives you fast access to key functionality and navigational information. (B) Replay bar allows you to retrieve saved files, and to control the playback. (C) Echogram views (D) Information fields provide additional and detailed data from the ME70 presentation. (E) Swath view (F) Main menu (G) Secondary menus (H) Bottom bar
The ME70 Multibeam scientific echo sounder is designed for high operating flexibility. The system includes a wide fan of stabilized beams for fish behaviour studies, fish school characterization, and other purposes. A sector of these beams can be set up as split beams providing data for single target analysis such as target strength measurements and target tracking. The sector of calibrated narrow split beams with low sidelobe levels and short pulse lengths allows for accurate biomass estimation very close to the bottom.


Key facts

Simrad ME70 operates in the 70 to 120 kHz frequency range.
Simrad ME70 provides an adjustable acoustic fan containing 3 to 45 stabilized beams.
All beams can be configured as split beams.
The calibration software is included.
The minimum beam opening is 2 degrees depending on the operational frequency and steering.
The total swath width is 140 degrees.
The athwartship center angle of the fan can be adjusted from +45 to -45 degrees.
The minimum acquisition depth is less than 1 m below the transducer, this depends on the beam mode configuration.
Sidelobe levels and beam interleakage are adjustable from -35 to -70 dB depending on the beamwidth and the frequency configuration.

Options
Two systems are available to expand the utility value of the ME70 multibeam scientific echo sounder system:

Bathymetric processor system for high-resolution seabed mapping
Element Data Logger for collection of high-volume element data

The bathymetry option provided for the ME70 allows you to use the system not only as a scientific multibeam echo sounder for fishery research applications but also as a multibeam echo sounder for seabed mapping. Additional hardware items are added to the basic ME70 system to provide this functionality.
The Ocean Science product ME70 has a defined and publicly available output format which is specified in the product’s interface description. For post-processing of the output data we refer you to this documentation, or use commercially available software applications like for example Echoview.


Key functionality

Transceiver input control
Sensor input control
Information display
Raw data recording with network interface
Replay previously recorded echo data
Low self-noise
Remote control
Data subscription functionality
Define and save your own user settings
Easy operation within an intuitive user interface
Clear and easily comprehensive echo data
25 transceiver boards provide 800 individual channels





","The ME70 is a multibeam scientific echo sounder designed specifically for fishery research applications. It operates within the frequency range of 70 to 120 kHz and utilizes 800 transmitting and receiving channels. With the inclusion of bathymetry functionality, the ME70 also offers high resolution seabed mapping capabilities. The system provides high operating flexibility with a wide fan of stabilized beams, which can be configured for fish behavior studies, fish school characterization, and single target analysis. Additionally, the ME70 offers adjustable acoustic fan containing 3 to 45 stabilized beams and all beams can be configured as split beams. The system also features a calibration software, minimum beam opening of 2 degrees, total swath width of 140 degrees, and adjustable athwartship center angle of the fan of +45 to -45 degrees.","Key features and benefits of the ME70 include: 
- Operates in the 70 to 120 kHz frequency range 
- Provides an adjustable acoustic fan containing 3 to 45 stabilized beams 
- All beams can be configured as split beams 
- Calibration software is included 
- Offers a minimum beam opening of 2 degrees 
- Total swath width of 140 degrees 
- Adjustable athwartship center angle of the fan from +45 to -45 degrees 
- Offers adjustable sidelobe levels and beam interleakage from -35 to -70 dB depending on the beamwidth and the frequency configuration","The technical specifications of the ME70 echo sounder system include: 
- Frequency range: 70 to 120 kHz 
- Transmitting and receiving channels: 800 
- Sidelobe levels and beam interleakage: adjustable from -35 to -70 dB 
- Number of stabilized beams: 3 to 45 
- Minimum beam opening: 2 degrees 
- Total swath width: 140 degrees 
- Athwartship center angle of the fan: adjustable from +45 to -45 degrees 
- Minimum acquisition depth: less than 1 m below the transducer 
- Output options: Bathymetric processor system, Element Data Logger"
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/scientific-multibeam-systems/ms70/,MS70 Multibeam sonar,,"The MS70 offers a new dimension to fishery research. As a school of fish changes shape and density constantly, the MS70 is the best possible tool to understand these dynamics with remote sensing. The MS70 was the world's first quantitative multibeam sonar for fishery research applications.


The MS70 operates in the frequency range of 70 to 120 kHz using 800 transmitting and receiving channels. The transducer is mounted on a drop keel, which allows it to look horizontally. Advanced beamforming software is used to form 500 beams, these are spread out 60° horizontally by 45° vertically.
The MS70 Multibeam scientific sonar is designed for high operating flexibility. It provides an acoustic matrix of stabilized and calibrated beams for biomass estimation, fish school characterization andbehaviour studies.
Within the bandwidth of the transducer, the limits for beam steering, and the minimum achievable beam opening, you can selectthe directions, frequencies, and opening angles for the beams. You can set up the system to fit your requirements, and it will provide you with a real-time display for quality control ofthe current data acquisition. The system configuration can be tailored to any requirements, allowing for choice of beamwidths as well as transmission modes.
The MS70 allows characterization and volume estimation of a school of fish using only one single transmission. Schools of fish can be tracked, followed, and studied using multiple consecutive transmissions.
As a consequence of the horizontal transmission using narrow beams, the MS70 allows you to detect and characterize schools of fish even very close to the sea surface.
Screen capture
A typical screen capture is provided. A school of herring is shown in both horizontal and vertical views. An echogram view is provided on the left side of the presentation. The borderlines between the views can easily be moved to adjust the size of each view.


Key facts
It offers unique features for modern research vessels and environmental monitoring installations that require high quality scientific data.

The frequency range is 70 to 120 kHz.
Provides an acoustic matrix containing 500 beams (25 horizontal and 20 vertical). Each beam is 3° to 4° wide depending on its position in the matrix.
60° horizontal operating sector
45° vertical operating sector
-25 dB horizontal side lobe levels
-35 dB vertical side lobe levels and beam interleakage
Transceiver operation control
Sensor input control
Information display
Raw data recording with network interface
Replay of previously recorded data
Low self-noise
Remote control
Data subscription functionality
Define and save your own user settings
Easy operation with an intuitive user interface
Clear and easily comprehensive echo data
25 transceiver boards provide 800 individual channels

The Ocean Science product MS70 has a defined and publicly available output format which is specified in the product’s interface description. For post-processing of the output data, we refer you to this documentation or use commercially available software applications like for example Echoview.

","The MS70 offers a new dimension to fishery research. As a school of fish changes shape and density constantly, the MS70 is the best possible tool to understand these dynamics with remote sensing. The MS70 was the world's first quantitative multibeam sonar for fishery research applications. The MS70 operates in the frequency range of 70 to 120 kHz using 800 transmitting and receiving channels. The transducer is mounted on a drop keel, which allows it to look horizontally. Advanced beamforming software is used to form 500 beams, these are spread out 60° horizontally by 45° vertically. The MS70 Multibeam scientific sonar is designed for high operating flexibility. It provides an acoustic matrix of stabilized and calibrated beams for biomass estimation, fish school characterization and behaviour studies. Within the bandwidth of the transducer, the limits for beam steering, and the minimum achievable beam opening, you can select the directions, frequencies, and opening angles for the beams. You can set up the system to fit your requirements, and it will provide you with a real-time display for quality control of the current data acquisition. The system configuration can be tailored to any requirements, allowing for choice of beamwidths as well as transmission modes. The MS70 allows characterization and volume estimation of a school of fish using only one single transmission. Schools of fish can be tracked, followed, and studied using multiple consecutive transmissions. As a consequence of the horizontal transmission using narrow beams, the MS70 allows you to detect and characterize schools of fish even very close to the sea surface. A typical screen capture is provided. A school of herring is shown in both horizontal and vertical views. An echogram view is provided on the left side of the presentation. The borderlines between the views can easily be moved to adjust the size of each view. It offers unique features for modern research vessels and environmental monitoring installations that require high quality scientific data. The Ocean Science product MS70 has a defined and publicly available output format which is specified in the product’s interface description. For post-processing of the output data, we refer you to this documentation or use commercially available software applications like for example Echoview."," - Frequency range of 70 to 120 kHz- 800 transmitting and receiving channels- Transducer mounted on a drop keel- 500 beams formed using advanced beamforming software- 60° horizontal by 45° vertical spread- High operating flexibility for biomass estimation, fish school characterization and behavior studies- Real-time display for quality control of the current data acquisition- Characterization and volume estimation of a school of fish using only one single transmission- Track, follow, and study schools of fish using multiple consecutive transmissions- Detection and characterization of schools of fish even very close to the sea surface- Unique features for modern research vessels and environmental monitoring installations- Defined and publicly available output format",I don't know
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/sonars/sonars-for-marine-site-inspection/flexview/,"Multibeam Sonar, Flexview",,"
Delivering superior image quality and coverage, the Flexview multibeam sonar provides high-quality distortion-free images over a 140° sector, reducing the time it takes to search for and locate targets. Two versions of the Flexview are available.
The Flexview's removable transducer is the first of its kind, offering field replacement of a damaged transducer in the unlikely event of a catastrophic impact. It also allows for potential new transducer configurations to be exchanged in the future, depending on the job being performed.


Mosaic image merged from 7 passes.

Features
Flexview – FLEXVIEW HF (High Frequency) version:

70 m coverage over 140⁰ sector
Higher resolution images at short range

Flexview – 500 kHz version:

200 m coverage over 140⁰ sector
High-resolution images at long range

Both versions:

Ideally suited for small observation class ROVs
Distortion-free images at a high update rate
Removable transducer for rapid field replacement
User-friendly interface
Low-profile wet mateable connector
CHIRP and Doppler modes of operation
Significant time savings

Applications

Search and recovery
Marine engineering
Site inspection
Environmental monitoring
Site clearance
Underwater science


","The Flexview multibeam sonar provides high-quality distortion-free images over a 140° sector, reducing the time it takes to search for and locate targets. The removable transducer of the Flexview allows for potential new transducer configurations to be exchanged in the future, depending on the job being performed. Two versions of the Flexview are available: FLEXVIEW HF (High Frequency) version with 70m coverage over a 140⁰ sector and higher resolution images at short range, and 500 kHz version with 200m coverage over 140⁰ sector and high-resolution images at long range. Both versions are ideally suited for small observation class ROVs, offering distortion-free images at a high update rate, and featuring a user-friendly interface, low-profile wet mateable connector, CHIRP and Doppler modes of operation, along with significant time savings. The Flexview is suitable for applications such as search and recovery, marine engineering, site inspection, environmental monitoring, site clearance, and underwater science.",Flexview multibeam sonar offers the following key features: - High-quality distortion-free images over a 140° sector - Removable transducer for rapid field replacement - Two versions available: FLEXVIEW HF (High Frequency) version and 500 kHz version - Ideally suited for small observation class ROVs - User-friendly interface - Low-profile wet mateable connector - CHIRP and Doppler modes of operation - Significant time savings,I don't know
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/sonars/sonars-for-marine-site-inspection/m3/,"Multibeam sonar, M3 Sonar¬Æ",,"
Features

Up to 500m and up to 4000m water depth
Portable, cost effective and light weight sonar
Generates imaging and bathymetric datasets from one sonar head
Produces single-beam image quality with the speed of multibeam
Provides GeoTIFF output and creates real-time mosaic using third party software
Compliant to IHO Special Order & 1A
Uses Linear FM, CW and Doppler pulses

The innovative design of the M3 Sonar® uses two sets of complementary transducers which allow it to generate both imaging and bathymetric data with the same head. Unique to the M3 Sonar® is the patented eIQ (enhanced image quality) mode of operation that generates multibeam images with unprecedented clarity.
The M3 Sonar has the ability to configure applications using complex pulses. The system allows the operator to interleave active pings and passive listening modes, Doppler, multiple true-zoom windows (up to 4) with linear FM and CW imaging modes of operation.
Data outputs are compatible with various third party software such as Caris, EIVA, Hypack and QINSy. The M3 Sonar® has the ability to produce real-time 3D point clouds enabling fast target or object detection. Ideal for shallow water surveys on USV/ASV/ROV and dual head deployment.
Benefits

High update rate
Significant time savings during operations
Uniform large coverage area
MultiMode capability
Low power consumption
User friendly

Applications

Hull Inspection
Pier Inspection and Berth Clearance
Underwater Search and Recovery
Underwater Security
Underwater Vehicle Instrumentation

Installation options

Pole mount on a surface vessel
Suitable for a wide range of vehicles from large work-class ROVs to small observation class ROVs
Tripod mounted

IHO compliance

Vertical Accuracy compliance can be met over the full ±60° sector for Order 1 surveys and to at least ±55° for Special Order
Special Order target detection (1m cube) is met to 20m and Order 1A target detection (2m cube) is maintained to 40m

M3 Sonar Applications
Marine Engineering & Site Inspection (MESI)

Structure inspection in ports and harbours
Dam and water intake inspections
Bridge pier and dock inspections
Shallow water surveys
Outfalls and pipe inspections
Pipeline surveys
Dredge monitoring

Search & Recovery (SAR) / Security

Berth clearance
Hull inspection
Piling inspection
Unexploded Ordinance (UEXO) / IED detection
Body and evidence detection/recovery
Diver direction and supervision

Underwater Vehicle Instrumentation (UVI)

ROV - Navigation, obstacle avoidance, rapid mosaicking - Bathymetric survey, pipeline survey
Trencher/Plough - Navigation, obstacle avoidance - Trench profiling

Environmental Monitoring

Mammal behaviour monitoring
Fish monitoring
Geological studies (bedforms and gas bubble/seeps)
Wastewater ponds & lagoons
Archeological sites & ship wrecks detection
Coral reefs monitoring

Installation Options

Suitable for a wide range of vehicles from large work-class ROVs to small observation-class ROVs
Pole mount on surface vessel
Tripod mounted

System components


M3 sonar package.

The system is made up of three main components:

Sonar head – transmits and receives acoustic pulses
Operations cable and power supply – supplies power to the sonar head
Computer  – operates the M3 software that manages communication with the sonar head and presents the sonar imagery for the operator

M3 Sonar Software
The M3 software was developed specifically for the M3 system to manage communications with the sonar head and operate all beam-forming and imaging processing.
Four Pre-Defined Modes

Imaging: Long range navigation with high speed update
Enhanced Image Quality (eIQ): Greatest image quality (0.95° angular resolution) from a short range with a slower update
ROV Navigation: Selects eIQ or imaging based on range
Profiling: Narrow 3° beam used to generate a 3D point cloud

Supported data acquisition software

Hypack Hysweep
QPS QINSy
EIVA NaviSuite
OIC SAMM
Forum VisualSoft Suite

Supported post processing software

CARIS HIPs & SIPs
Hypack
QPS QINSy
EIVA NaviSuite
Forum VisualSoft Suite
Echoview

","The M3 Sonar® offers a range of valuable features and benefits, making it an essential tool for various marine applications. With the ability to produce both imaging and bathymetric data from a single head, the M3 Sonar® provides exceptional versatility and efficiency. Its innovative design utilizes complex pulses and various modes of operation to generate high-quality images and point clouds in real-time. Additionally, the M3 Sonar® is compliant with IHO Special Order & 1A, ensuring accurate and reliable data for surveys. Furthermore, the system is user-friendly and offers significant time savings during operations, along with low power consumption."," - Up to 500m and up to 4000m water depth
 - Portable, cost effective and light weight sonar
 - Generates imaging and bathymetric datasets from one sonar head
 - Produces single-beam image quality with the speed of multibeam
 - Provides GeoTIFF output and creates real-time mosaic using third party software
 - Compliant to IHO Special Order & 1A
 - Uses Linear FM, CW and Doppler pulses
 - High update rate
 - Significant time savings during operations
 - Uniform large coverage area
 - MultiMode capability
 - Low power consumption
 - User friendly",I don`t know
