,Product_Name,Product category,Application / use ,url,new_tags
,K-Sync Synchronization unit,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/multibeam-echo-sounders/k-sync/,"echosounder synchronization, interference reduction, real-time trigger, multiple acoustic systems, user-friendly interface"
,cNODE Midi - Transponder,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Midi/,"autonomous, uncrewed, transponder, subsea technology, medium frequency"
,"cNODE - Transponder, Embedable",Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Embed/,"transponder, subsea positioning, custom housing integration, telemetry, SSBL/LBL positioning"
,cNODE MiniS - Transponder,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/,"underwater positioning, ROV positioning, towfish tracking, telemetry, SSBL, LBL, digital acoustic channels"
,cNODE Maxi - Transponder,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Fishery Sonar Systems, Acoustic Telemetry for Fish Studies, Fisheries Research Software",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Maxi/,"Subsea construction, Acoustic positioning, Modular design, Range measurement, Battery lifetime estimation."
,cNODE Micro - Transponder,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Fishery Sonar Systems, Acoustic Telemetry for Fish Studies, Fisheries Research Software",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/,"Acoustic telemetry, SSBL positioning, 600m depth rating, internal rechargeable battery, tilt sensor."
,cNODE IQAM - Intelligent data analysis and monitoring,Autonomous and uncrewed solutions," Acoustic Telemetry for Fish Studies, Fisheries Research Software, Fishery Sonar Systems, Multibeam Sonar, Sub-bottom Profilers",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-IQAM/,"subsea monitoring, data acquisition, telemetry, sensor logging, environmental monitoring"
,"cNODE - Transponder, for explosive atmosphere",Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Side Scan Sonars, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Exd/,"underwater acoustic positioning, data link, explosive atmosphere, compliance with standards, 24/7 technical support"
,TTC 30 & TTC 10 - Transponders test and configuration units,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Echo Sounders, Multibeam Sonar, Side Scan Sonars, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/TTC-30-TTC-10/,"transponder testing, acoustic protocols, telemetry transponders, touch screen, portable case, rechargeable battery, transponder configuration, technical support, training, cNODE transponders"
,cNODE Mini - Transponder,Autonomous and uncrewed solutions," Side Scan Sonars, Multibeam Sonar, Sub-bottom Profilers, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/transponder-mini/,"24/7 technical support, Retrofit and refit, Crew training, Subsea communication, Low and medium frequency transponder."
,cNODE Explorer - Transponder,Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Side Scan Sonars, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cnode-explorer---transponder/,"Underwater positioning, Telemetry capability, Low frequency transponder, AUV installation, Technical support."
,APOS Survey - Surveyor's independent Operator Station for HiPAP,Autonomous and uncrewed solutions," Multibeam Sonar, High-Resolution Sonar, Sonar Heads, Scanning Sonar, Sub-bottom Profilers",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/apos-survey---surveyors-independent-operator-station-for-hipap/,"subsea survey, construction operations, HiPAP system, LBL, SSBL, ROV positioning, acoustic interrogations"
,Sensor Fusion,Autonomous and uncrewed solutions," Data Analytics Platforms, Cloud-Based Data Management, Remote Monitoring Solutions, Survey Equipment, Data Printing",https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/sensor-fusion/,"Onboard data collection, Sensor integration, Cloud distribution, Real-time monitoring, Technical support."
,Data forwarder,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/data-forwarder/,"Efficient data sharing, Cloud integration, Data conversion, Automated forwarding, Technical support."
,Sensor remote,Autonomous and uncrewed solutions," Sub-bottom Profilers, Underwater Mapping Systems, Seabed Geoacoustic Monitoring, Multibeam Sonar, Scanning Sonar",https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/sensor-remote/,"remote control, sensor management, web interface, unmanned platforms, technical support"
