Product_Name,Product category,Application / use ,url,new_tags,tags_dict,tags,image_url
Product Name,Product category,Application / use ,https://www.kongsberg.comn,"{
  ""tags"": []
}","{
    ""Product Type"": [""Software"", ""Electronics"", ""Apparel""],
    ""Technology"": [""AI"", ""Blockchain"", ""IoT""],
    ""Application"": [""Data Analysis"", ""Payment Processing"", ""Wearable Tracking""]
}","{
    ""Tags"": """"
}",https://www.feed-image-editor.com/sites/default/files/perm/wysiwyg/image_not_available.png
K-Sync Synchronization unit,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/multibeam-echo-sounders/k-sync/,"{""tags"": [""acoustic synchronization"", ""echo sounder interface"", ""multi-instrument management"", ""underwater survey equipment"", ""sonar sequencing technology""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""transponder, acoustic communication, underwater_navigation, marine research""
}","https://www.kongsberg.com/contentassets/4a13f33b3968442b813cd60ce99793b2/header1600x500_2.png?width=1500&rxy=0.5,0.5"
cNODE Midi - Transponder,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Midi/,"{
  ""tags"": [""underwater acoustics"", ""transponder"", ""marine technology"", ""subsea communication"", ""positioning equipment""]
}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""transponder, acoustic communication, underwater_navigation, marine research""
}","https://www.kongsberg.com/contentassets/ca3263c79f02418fae44ab28b959d482/cnode-midi-700x186.jpg?width=500&rxy=0.5,0.5"
"cNODE - Transponder, Embedable",Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Embed/,"{
  ""tags"": [""subsea positioning"", ""navigation transponder"", ""underwater telemetry"", ""acoustic communication"", ""AUV and ROV support""]
}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""transponder, acoustic communication, underwater_navigation, marine research""
}","https://www.kongsberg.com/contentassets/8e0944bfa1c74713abadb7fa131c898a/cnode-oem-700x319.jpg?width=500&rxy=0.5,0.5"
cNODE MiniS - Transponder,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/,"{""tags"": [""underwater positioning"", ""acoustic transponder"", ""marine technology"", ""rechargeable battery"", ""depth rated""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""transponder, acoustic communication, underwater_navigation""
}","https://www.kongsberg.com/contentassets/579601a0858d4901be08d06711a36a44/cnode-minis-700x371.jpg?width=500&rxy=0.5,0.5"
cNODE Maxi - Transponder,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Fishery Sonar Systems, Acoustic Telemetry for Fish Studies, Fisheries Research Software",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Maxi/,"{""tags"": [""modular underwater positioning"", ""acoustic communication transducer"", ""sensor-equipped transponder"", ""subsea navigation"", ""replaceable components""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""transponder, acoustic communication, underwater_navigation, marine research""
}","https://www.kongsberg.com/contentassets/94479533588c488aa1fbc65bc80794eb/cnode-maxi-700x152.jpg?width=500&rxy=0.5,0.5"
cNODE Micro - Transponder,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Fishery Sonar Systems, Acoustic Telemetry for Fish Studies, Fisheries Research Software",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/,"{""tags"": [""underwater_acoustic_positioning"", ""rechargeable_li-ion_battery"", ""subsea_telemetry"", ""omnidirectional_beam"", ""depth_rated_600m""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
  ""tags"": ""transponder, acoustic communication, underwater_navigation, marine research""
}","https://www.kongsberg.com/contentassets/1f7424716980446e96013a5582c77de0/cnode-micro-700x177.jpg?width=500&rxy=0.5,0.5"
cNODE IQAM - Intelligent data analysis and monitoring,Autonomous and uncrewed solutions," Acoustic Telemetry for Fish Studies, Fisheries Research Software, Fishery Sonar Systems, Multibeam Sonar, Sub-bottom Profilers",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-IQAM/,"{""tags"": [""subsea monitoring"", ""sensor integration"", ""data acquisition"", ""acoustic telemetry"", ""subsea valve actuation""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
  ""tags"": ""transponder, Autonomous Echo Sounders Programming, acoustic communication, machine learning, Data Management, environmental monitoring""
}","https://www.kongsberg.com/contentassets/ca1802a3d113416f9530c4dd7ad44411/cnode-iqam-700x372.jpg?width=500&rxy=0.5,0.5"
"cNODE - Transponder, for explosive atmosphere",Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Side Scan Sonars, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Exd/,"{""tags"": [""explosive atmosphere"", ""transponder"", ""Exd certified"", ""IEC standards"", ""cNODEMaxi""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""transponder, acoustic communication, underwater_navigation, marine research, environmental monitoring""
}","https://www.kongsberg.com/globalassets/maritime/km-products/pictures/transponder-for-explosive-atmosphere.jpg?width=500&rxy=0.5,0.5"
TTC 30 & TTC 10 - Transponders test and configuration units,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Echo Sounders, Multibeam Sonar, Side Scan Sonars, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/TTC-30-TTC-10/,"{""tags"": [""transponder tester"", ""acoustic test equipment"", ""rechargeable battery"", ""splash-proof case"", ""serial configuration""]}","{
    ""Product Type"": [
        ""transponder"",
        ""Autonomous Echo Sounders Programming"",
        ""marine survey equipment"",
        ""Software""
    ],
    ""Technology"": [
        ""acoustic communication"",
        ""3D sonar sensing"",
        ""sensor fusion"",
        ""machine learning""
    ],
    ""Application"": [
        ""underwater_navigation"",
        ""marine research"",
        ""Data Management"",
        ""environmental monitoring""
    ]
}","{
    ""tags"": ""transponder, acoustic communication, underwater_navigation, Data Management""
}","https://www.kongsberg.com/contentassets/7478367e4ef1428f80f3b839d4a6f35a/bm030107_008_001-ttc30-acoustic-test-1189x793.png?width=500&rxy=0.5,0.5"
