Product_Name,product_tags,Product category,url,image_url
ACS400 - Acoustic control system for BOP operation,nan,Surveilance & monitoring,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-control-system/acs400-acoustic-control-system-for-bop-operation/,https://www.feed-image-editor.com/sites/default/files/perm/wysiwyg/image_not_available.png
AIS 200 P - portable Automatic Identification System,"{
  ""tags"": ""GPS receiver, marine echo sounder, GNSS infrastructure, sensor fusion compatible, vessel tracking, maritime navigation""
}",Surface navigation & positioning,https://www.kongsberg.com/maritime/products/bridge-systems-and-control-centres/navigation-systems/ais-200-p-portable-automatic-identification-system/,https://www.feed-image-editor.com/sites/default/files/perm/wysiwyg/image_not_available.png
AIS physical shore stations,nan,Surveilance & monitoring,https://www.kongsberg.com/maritime/products/onshore/onshore-systems/ais-network-infrastructure-shorebased/ais-physical-shore-stations/,"https://www.kongsberg.com/contentassets/c8180d2a2fa84181ab714d9bd40d02dc/ais-physical-shore-station-1020x411.jpg?width=750&rxy=0.5,0.5"
AIS service management system,nan,Surveilance & monitoring,https://www.kongsberg.com/maritime/products/onshore/onshore-systems/ais-network-infrastructure-shorebased/ais-service-management-system/,"https://www.kongsberg.com/contentassets/f3f5d1afd51c47f4b4b77e2e5ca8caf2/ais_cm.jpg?width=750&rxy=0.5,0.5"
AIS space receivers,"{
  ""tags"": ""Radio, transceiver, reconfigurable SDR, VDES technology, maritime communication, navigation systems""
}",Communication solutions,https://www.kongsberg.com/maritime/products/onshore/space-based/ais-space-receiver/,"https://www.kongsberg.com/contentassets/b015aabb74e9417899ad8cdfabee5ab1/space_earth_1920x500.jpg?width=1500&rxy=0.5,0.5"
APOS - Operating station for HiPAP and HPR Acoustic positioning systems,"{
  ""tags"": ""Positioning system, Navigation system, acoustic telemetry, Hydroacoustic Positioning, dynamic positioning reference, subsea survey""
}",Underwater navigation & positioning,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/HiPAP-HPR/,"https://www.kongsberg.com/contentassets/e8fdb53f26a3499f95226938012484e8/apos-screen-dump-700x438.jpg?width=500&rxy=0.5,0.5"
APOS Survey - Surveyor's independent Operator Station for HiPAP,"{
  ""tags"": ""Positioning system, Navigation system, acoustic telemetry, Hydroacoustic Positioning, dynamic positioning reference, subsea survey""
}",Underwater navigation & positioning,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/apos-survey---surveyors-independent-operator-station-for-hipap/,"https://www.kongsberg.com/contentassets/f1b704ed2cbd465fa634747480050111/apos-screen-700x346.jpg?width=500&rxy=0.5,0.5"
Acoustic control system for BOP operation,nan,Surveilance & monitoring,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-control-system/ACS500/,"https://www.kongsberg.com/contentassets/4b95710e4f32457ba2025065bfdd294a/acs-500.jpg?width=1500&rxy=0.5,0.5"
Analytics,"{
  ""Data Management"": ""Quality Assurance, Industrial IoT"",
  ""Technology"": ""cloud-based, AI classification"",
  ""Application"": ""environmental monitoring, ocean exploration""
}",Cloud solution,https://www.kongsberg.com/maritime/products/ocean-science/blue-insight/analytics/,"https://www.kongsberg.com/contentassets/b26de616851340b1a38ba5a296e083fe/blue_insight_illustration_1601x674.jpg?width=1500&rxy=0.5,0.5"
Aquaculture monitoring system,"{
  ""tags"": ""echo sounder system, sonar technology, acoustic Doppler, sensor fusion algorithms, scientific research, environmental monitoring""
}",Fishery & ocean research,https://www.kongsberg.com/maritime/products/commercial-fisheries/aquaculture-monitoring-systems/aquaculture-monitoring-system/,"https://www.kongsberg.com/contentassets/db25e65a36004f3d92ebe7ec3520bc7d/aquaculture-monitoring-1020x535.jpg?width=500&rxy=0.5,0.5"
"Automatic Identification System, AIS",nan,Surveilance & monitoring,https://www.kongsberg.com/maritime/products/bridge-systems-and-control-centres/navigation-systems/ais-automatic-identification-sensor/,"https://www.kongsberg.com/contentassets/bf03b9a2bb594e808781c4a1c59eee4a/ais-300-700x403.jpg?width=500&rxy=0.5,0.5"
Automatic identification system - AIS 200,nan,Surveilance & monitoring,https://www.kongsberg.com/maritime/products/bridge-systems-and-control-centres/navigation-systems/ais-200-automatic-identification-system/,https://www.feed-image-editor.com/sites/default/files/perm/wysiwyg/image_not_available.png
