Product_Name,url,Product category,new_tags,tags_dict,tags,image_url
K-Sync Synchronization unit,https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/multibeam-echo-sounders/k-sync/,Autonomous and uncrewed solutions,"triggering systems, echo sounder synchronization, real-time depth input, external input triggering, diagnostics displays","{
    'Product Type': ['transponder', 'telemetry', 'sensor fusion', 'data integration', 'remote control'],
    'Technology': ['acoustic technology', 'wireless technology', 'smart technology', 'sensor protocols', 'high-precision positioning'],
    'Application': ['underwater exploration', 'marine research', 'environmental monitoring', 'underwater mapping', 'fish finding'],
    'Navigation': ['positioning system', 'acoustic positioning', 'underwater navigation', 'marine navigation', 'high-precision positioning'],
    'Communication': ['underwater communication', 'data logging', 'telemetry', 'sensor interface', 'underwater communication']
}","Geophysical survey, Technology, Application, Navigation, Communication, Autonomous and uncrewed solutions, Data synchronization, Data routing","https://www.kongsberg.com/contentassets/4a13f33b3968442b813cd60ce99793b2/header1600x500_2.png?width=1500&rxy=0.5,0.5"
cNODE Midi - Transponder,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Midi/,Autonomous and uncrewed solutions,"underwater communication, positioning system, acoustic transponder, subsea monitoring, data logging","{
    'Product Type': ['transponder', 'telemetry', 'sensor fusion', 'data integration', 'remote control'],
    'Technology': ['acoustic technology', 'wireless technology', 'smart technology', 'sensor protocols', 'high-precision positioning'],
    'Application': ['underwater exploration', 'marine research', 'environmental monitoring', 'underwater mapping', 'fish finding'],
    'Navigation': ['positioning system', 'acoustic positioning', 'underwater navigation', 'marine navigation', 'high-precision positioning'],
    'Communication': ['underwater communication', 'data logging', 'telemetry', 'sensor interface', 'underwater communication']
}","Geophysical survey, Technology, Application, Navigation, Communication, Autonomous and uncrewed solutions, Underwater navigation & positioning, cNODE Midi - Transponder","https://www.kongsberg.com/contentassets/ca3263c79f02418fae44ab28b959d482/cnode-midi-700x186.jpg?width=500&rxy=0.5,0.5"
"cNODE - Transponder, Embedable",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Embed/,Autonomous and uncrewed solutions,"wideband codes, responder, transponder, telemetry, positioning","{
    'Product Type': ['transponder', 'telemetry', 'sensor fusion', 'data integration', 'remote control'],
    'Technology': ['acoustic technology', 'wireless technology', 'smart technology', 'sensor protocols', 'high-precision positioning'],
    'Application': ['underwater exploration', 'marine research', 'environmental monitoring', 'underwater mapping', 'fish finding'],
    'Navigation': ['positioning system', 'acoustic positioning', 'underwater navigation', 'marine navigation', 'high-precision positioning'],
    'Communication': ['underwater communication', 'data logging', 'telemetry', 'sensor interface', 'underwater communication']
}","Underwater communication, Data logging, Telemetry, Sensor interface, Acoustic positioning, Marine navigation, High-precision positioning, Wireless technology","https://www.kongsberg.com/contentassets/8e0944bfa1c74713abadb7fa131c898a/cnode-oem-700x319.jpg?width=500&rxy=0.5,0.5"
cNODE MiniS - Transponder,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/,Autonomous and uncrewed solutions,"telemetry, positioning, range measurements, underwater applications, marine research","{
    'Product Type': ['transponder', 'telemetry', 'sensor fusion', 'data integration', 'remote control'],
    'Technology': ['acoustic technology', 'wireless technology', 'smart technology', 'sensor protocols', 'high-precision positioning'],
    'Application': ['underwater exploration', 'marine research', 'environmental monitoring', 'underwater mapping', 'fish finding'],
    'Navigation': ['positioning system', 'acoustic positioning', 'underwater navigation', 'marine navigation', 'high-precision positioning'],
    'Communication': ['underwater communication', 'data logging', 'telemetry', 'sensor interface', 'underwater communication']
}","Geophysical survey, Technology, Application, Navigation, Communication, Autonomous and uncrewed solutions, Underwater navigation & positioning, cNODE MiniS - Transponder","https://www.kongsberg.com/contentassets/579601a0858d4901be08d06711a36a44/cnode-minis-700x371.jpg?width=500&rxy=0.5,0.5"
cNODE Maxi - Transponder,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Maxi/,Autonomous and uncrewed solutions,"SSBL positioning, LBL positioning, Range measurement, Acoustic data link, Tilt sensor","{
    'Product Type': ['transponder', 'telemetry', 'sensor fusion', 'data integration', 'remote control'],
    'Technology': ['acoustic technology', 'wireless technology', 'smart technology', 'sensor protocols', 'high-precision positioning'],
    'Application': ['underwater exploration', 'marine research', 'environmental monitoring', 'underwater mapping', 'fish finding'],
    'Navigation': ['positioning system', 'acoustic positioning', 'underwater navigation', 'marine navigation', 'high-precision positioning'],
    'Communication': ['underwater communication', 'data logging', 'telemetry', 'sensor interface', 'underwater communication']
}","Geophysical survey, Technology, Application, Navigation, Communication, Autonomous and uncrewed solutions, Positioning system, Transponder","https://www.kongsberg.com/contentassets/94479533588c488aa1fbc65bc80794eb/cnode-maxi-700x152.jpg?width=500&rxy=0.5,0.5"
cNODE Micro - Transponder,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/,Autonomous and uncrewed solutions,"SSBL positioning, LBL positioning, Acoustic telemetry, Range measurements, Battery status monitoring","{
    'Product Type': ['transponder', 'telemetry', 'sensor fusion', 'data integration', 'remote control'],
    'Technology': ['acoustic technology', 'wireless technology', 'smart technology', 'sensor protocols', 'high-precision positioning'],
    'Application': ['underwater exploration', 'marine research', 'environmental monitoring', 'underwater mapping', 'fish finding'],
    'Navigation': ['positioning system', 'acoustic positioning', 'underwater navigation', 'marine navigation', 'high-precision positioning'],
    'Communication': ['underwater communication', 'data logging', 'telemetry', 'sensor interface', 'underwater communication']
}","Geophysical survey, Technology, Application, Navigation, Communication, Autonomous and uncrewed solutions, Transponder, Underwater communication","https://www.kongsberg.com/contentassets/1f7424716980446e96013a5582c77de0/cnode-micro-700x177.jpg?width=500&rxy=0.5,0.5"
cNODE IQAM - Intelligent data analysis and monitoring,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-IQAM/,Autonomous and uncrewed solutions,"sensor interface, data logging, alarms, RS232, RS485","{
    'Product Type': ['transponder', 'telemetry', 'sensor fusion', 'data integration', 'remote control'],
    'Technology': ['acoustic technology', 'wireless technology', 'smart technology', 'sensor protocols', 'high-precision positioning'],
    'Application': ['underwater exploration', 'marine research', 'environmental monitoring', 'underwater mapping', 'fish finding'],
    'Navigation': ['positioning system', 'acoustic positioning', 'underwater navigation', 'marine navigation', 'high-precision positioning'],
    'Communication': ['underwater communication', 'data logging', 'telemetry', 'sensor interface', 'underwater communication']
}","Geophysical survey, Autonomous systems, Underwater navigation, Marine navigation, High-precision positioning, Data integration, Remote control, Underwater communication","https://www.kongsberg.com/contentassets/ca1802a3d113416f9530c4dd7ad44411/cnode-iqam-700x372.jpg?width=500&rxy=0.5,0.5"
"cNODE - Transponder, for explosive atmosphere",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Exd/,Autonomous and uncrewed solutions,"explosive atmosphere, transponder, underwater communication, hazardous environments, industrial safety","{
    'Product Type': ['transponder', 'telemetry', 'sensor fusion', 'data integration', 'remote control'],
    'Technology': ['acoustic technology', 'wireless technology', 'smart technology', 'sensor protocols', 'high-precision positioning'],
    'Application': ['underwater exploration', 'marine research', 'environmental monitoring', 'underwater mapping', 'fish finding'],
    'Navigation': ['positioning system', 'acoustic positioning', 'underwater navigation', 'marine navigation', 'high-precision positioning'],
    'Communication': ['underwater communication', 'data logging', 'telemetry', 'sensor interface', 'underwater communication']
}","Underwater communication, Transponder, Acoustic technology, Wireless technology, Sensor fusion, High-precision positioning, Remote control, Data integration","https://www.kongsberg.com/globalassets/maritime/km-products/pictures/transponder-for-explosive-atmosphere.jpg?width=500&rxy=0.5,0.5"
TTC 30 & TTC 10 - Transponders test and configuration units,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/TTC-30-TTC-10/,Autonomous and uncrewed solutions,"test transducer, transponder test, configuration unit, medium frequency, low frequency","{
    'Product Type': ['transponder', 'telemetry', 'sensor fusion', 'data integration', 'remote control'],
    'Technology': ['acoustic technology', 'wireless technology', 'smart technology', 'sensor protocols', 'high-precision positioning'],
    'Application': ['underwater exploration', 'marine research', 'environmental monitoring', 'underwater mapping', 'fish finding'],
    'Navigation': ['positioning system', 'acoustic positioning', 'underwater navigation', 'marine navigation', 'high-precision positioning'],
    'Communication': ['underwater communication', 'data logging', 'telemetry', 'sensor interface', 'underwater communication']
}","Underwater communication, Transponder, Telemetry, Sensor fusion, Data integration, Remote control, Acoustic technology, High-precision positioning","https://www.kongsberg.com/contentassets/7478367e4ef1428f80f3b839d4a6f35a/bm030107_008_001-ttc30-acoustic-test-1189x793.png?width=500&rxy=0.5,0.5"
cNODE Mini - Transponder,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/transponder-mini/,Autonomous and uncrewed solutions,"underwater positioning, subsea communication, marine navigation, underwater tracking, acoustic technology","{
    'Product Type': ['transponder', 'telemetry', 'sensor fusion', 'data integration', 'remote control'],
    'Technology': ['acoustic technology', 'wireless technology', 'smart technology', 'sensor protocols', 'high-precision positioning'],
    'Application': ['underwater exploration', 'marine research', 'environmental monitoring', 'underwater mapping', 'fish finding'],
    'Navigation': ['positioning system', 'acoustic positioning', 'underwater navigation', 'marine navigation', 'high-precision positioning'],
    'Communication': ['underwater communication', 'data logging', 'telemetry', 'sensor interface', 'underwater communication']
}","Geophysical survey, Technology, Application, Navigation, Communication, Autonomous and uncrewed solutions, Transponder, Underwater communication","https://www.kongsberg.com/contentassets/12a9b4b1034b4d298c5ff1b7b3ce3da6/cnode-mini-700x130.jpg?width=500&rxy=0.5,0.5"
