Product_Name,url,Product category,filter_tags,product_tags,image_url
K-Sync Synchronization unit,https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/multibeam-echo-sounders/k-sync/,Autonomous and uncrewed solutions,"{
  ""Product Type"": [
    ""mission management"",
    ""monitoring stations"",
    ""autonomous vehicle"",
    ""unmanned surface vessel""
  ],
  ""Technology"": [
    ""transponder technology"",
    ""intelligent data analysis"",
    ""sensor interfaces"",
    ""acoustic positioning""
  ],
  ""Application"": [
    ""subsea exploration"",
    ""marine research"",
    ""environmental monitoring"",
    ""marine survey operation""
  ]
}","{
  ""tags"": ""mission management, transponder technology, sensor interfaces, acoustic positioning, subsea exploration, marine survey operation""
}","https://www.kongsberg.com/contentassets/4a13f33b3968442b813cd60ce99793b2/header1600x500_2.png?width=1500&rxy=0.5,0.5"
cNODE Midi - Transponder,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Midi/,Autonomous and uncrewed solutions,"{
  ""Product Type"": [
    ""mission management"",
    ""monitoring stations"",
    ""autonomous vehicle"",
    ""unmanned surface vessel""
  ],
  ""Technology"": [
    ""transponder technology"",
    ""intelligent data analysis"",
    ""sensor interfaces"",
    ""acoustic positioning""
  ],
  ""Application"": [
    ""subsea exploration"",
    ""marine research"",
    ""environmental monitoring"",
    ""marine survey operation""
  ]
}","{
  ""tags"": ""transponder technology, acoustic positioning, subsea exploration, marine research, environmental monitoring, marine survey operation""
}","https://www.kongsberg.com/contentassets/ca3263c79f02418fae44ab28b959d482/cnode-midi-700x186.jpg?width=500&rxy=0.5,0.5"
"cNODE - Transponder, Embedable",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Embed/,Autonomous and uncrewed solutions,"{
  ""Product Type"": [
    ""mission management"",
    ""monitoring stations"",
    ""autonomous vehicle"",
    ""unmanned surface vessel""
  ],
  ""Technology"": [
    ""transponder technology"",
    ""intelligent data analysis"",
    ""sensor interfaces"",
    ""acoustic positioning""
  ],
  ""Application"": [
    ""subsea exploration"",
    ""marine research"",
    ""environmental monitoring"",
    ""marine survey operation""
  ]
}","{
  ""tags"": ""transponder technology, subsea exploration, marine research, marine survey operation""
}","https://www.kongsberg.com/contentassets/8e0944bfa1c74713abadb7fa131c898a/cnode-oem-700x319.jpg?width=500&rxy=0.5,0.5"
cNODE MiniS - Transponder,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/,Autonomous and uncrewed solutions,"{
  ""Product Type"": [
    ""mission management"",
    ""monitoring stations"",
    ""autonomous vehicle"",
    ""unmanned surface vessel""
  ],
  ""Technology"": [
    ""transponder technology"",
    ""intelligent data analysis"",
    ""sensor interfaces"",
    ""acoustic positioning""
  ],
  ""Application"": [
    ""subsea exploration"",
    ""marine research"",
    ""environmental monitoring"",
    ""marine survey operation""
  ]
}","{
  ""tags"": ""transponder technology, subsea exploration, marine research, environmental monitoring, marine survey operation""
}","https://www.kongsberg.com/contentassets/579601a0858d4901be08d06711a36a44/cnode-minis-700x371.jpg?width=500&rxy=0.5,0.5"
cNODE Maxi - Transponder,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Maxi/,Autonomous and uncrewed solutions,"{
  ""Product Type"": [
    ""mission management"",
    ""monitoring stations"",
    ""autonomous vehicle"",
    ""unmanned surface vessel""
  ],
  ""Technology"": [
    ""transponder technology"",
    ""intelligent data analysis"",
    ""sensor interfaces"",
    ""acoustic positioning""
  ],
  ""Application"": [
    ""subsea exploration"",
    ""marine research"",
    ""environmental monitoring"",
    ""marine survey operation""
  ]
}","{
  ""tags"": ""transponder technology, acoustic positioning, subsea exploration, marine research, environmental monitoring, marine survey operation""
}","https://www.kongsberg.com/contentassets/94479533588c488aa1fbc65bc80794eb/cnode-maxi-700x152.jpg?width=500&rxy=0.5,0.5"
cNODE Micro - Transponder,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/,Autonomous and uncrewed solutions,"{
  ""Product Type"": [
    ""mission management"",
    ""monitoring stations"",
    ""autonomous vehicle"",
    ""unmanned surface vessel""
  ],
  ""Technology"": [
    ""transponder technology"",
    ""intelligent data analysis"",
    ""sensor interfaces"",
    ""acoustic positioning""
  ],
  ""Application"": [
    ""subsea exploration"",
    ""marine research"",
    ""environmental monitoring"",
    ""marine survey operation""
  ]
}","{
  ""tags"": [
    ""transponder technology"",
    ""acoustic positioning"",
    ""subsea exploration"",
    ""marine research"",
    ""environmental monitoring"",
    ""marine survey operation""
  ]
}","https://www.kongsberg.com/contentassets/1f7424716980446e96013a5582c77de0/cnode-micro-700x177.jpg?width=500&rxy=0.5,0.5"
cNODE IQAM - Intelligent data analysis and monitoring,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-IQAM/,Autonomous and uncrewed solutions,"{
  ""Product Type"": [
    ""mission management"",
    ""monitoring stations"",
    ""autonomous vehicle"",
    ""unmanned surface vessel""
  ],
  ""Technology"": [
    ""transponder technology"",
    ""intelligent data analysis"",
    ""sensor interfaces"",
    ""acoustic positioning""
  ],
  ""Application"": [
    ""subsea exploration"",
    ""marine research"",
    ""environmental monitoring"",
    ""marine survey operation""
  ]
}","{
  ""tags"": ""mission management, intelligent data analysis, acoustic positioning, environmental monitoring, marine survey operation""
}","https://www.kongsberg.com/contentassets/ca1802a3d113416f9530c4dd7ad44411/cnode-iqam-700x372.jpg?width=500&rxy=0.5,0.5"
"cNODE - Transponder, for explosive atmosphere",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Exd/,Autonomous and uncrewed solutions,"{
  ""Product Type"": [
    ""mission management"",
    ""monitoring stations"",
    ""autonomous vehicle"",
    ""unmanned surface vessel""
  ],
  ""Technology"": [
    ""transponder technology"",
    ""intelligent data analysis"",
    ""sensor interfaces"",
    ""acoustic positioning""
  ],
  ""Application"": [
    ""subsea exploration"",
    ""marine research"",
    ""environmental monitoring"",
    ""marine survey operation""
  ]
}","{""tags"": ""transponder technology, subsea exploration, marine research, environmental monitoring, marine survey operation""}","https://www.kongsberg.com/globalassets/maritime/km-products/pictures/transponder-for-explosive-atmosphere.jpg?width=500&rxy=0.5,0.5"
TTC 30 & TTC 10 - Transponders test and configuration units,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/TTC-30-TTC-10/,Autonomous and uncrewed solutions,"{
  ""Product Type"": [
    ""mission management"",
    ""monitoring stations"",
    ""autonomous vehicle"",
    ""unmanned surface vessel""
  ],
  ""Technology"": [
    ""transponder technology"",
    ""intelligent data analysis"",
    ""sensor interfaces"",
    ""acoustic positioning""
  ],
  ""Application"": [
    ""subsea exploration"",
    ""marine research"",
    ""environmental monitoring"",
    ""marine survey operation""
  ]
}","{
  ""tags"": ""transponder technology, intelligent data analysis, marine research, environmental monitoring, marine survey operation""
}","https://www.kongsberg.com/contentassets/7478367e4ef1428f80f3b839d4a6f35a/bm030107_008_001-ttc30-acoustic-test-1189x793.png?width=500&rxy=0.5,0.5"
cNODE Mini - Transponder,https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/transponder-mini/,Autonomous and uncrewed solutions,"{
  ""Product Type"": [
    ""mission management"",
    ""monitoring stations"",
    ""autonomous vehicle"",
    ""unmanned surface vessel""
  ],
  ""Technology"": [
    ""transponder technology"",
    ""intelligent data analysis"",
    ""sensor interfaces"",
    ""acoustic positioning""
  ],
  ""Application"": [
    ""subsea exploration"",
    ""marine research"",
    ""environmental monitoring"",
    ""marine survey operation""
  ]
}","{
  ""tags"": ""transponder technology, acoustic positioning, subsea exploration, marine research, environmental monitoring""
}","https://www.kongsberg.com/contentassets/12a9b4b1034b4d298c5ff1b7b3ce3da6/cnode-mini-700x130.jpg?width=500&rxy=0.5,0.5"
