Unnamed: 0,Product_Name,Product category,Application / use ,url,new_tags,filter_tags,product_tags,image_url,related_products,related_products_url
,K-Sync Synchronization unit,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/multibeam-echo-sounders/k-sync/,"{""tags"": [""acoustic synchronization"", ""marine instruments interfacing"", ""echo sounder management"", ""multibeam echosounder compatibility"", ""underwater survey equipment""]}","{
    ""Product Type"": [
        ""autonomous underwater vehicle"",
        ""unmanned surface vehicle"",
        ""transponder"",
        ""sonar positioning system""
    ],
    ""Technology"": [
        ""acoustic telemetry"",
        ""subsea robotics"",
        ""machine learning"",
        ""motion compensation""
    ],
    ""Application"": [
        ""ocean exploration"",
        ""marine research"",
        ""environmental monitoring"",
        ""Data Visualization""
    ]
}","{
    ""Tags"": [
        ""transponder"",
        ""acoustic telemetry"",
        ""sonar positioning system""
    ]
}","https://www.kongsberg.com/contentassets/4a13f33b3968442b813cd60ce99793b2/header1600x500_2.png?width=1500&rxy=0.5,0.5",[],[]
,cNODE Midi - Transponder,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Midi/,"{
  ""tags"": [""underwater communication"", ""transponder"", ""sonar positioning"", ""marine technology"", ""subsea""]
}","{
    ""Product Type"": [
        ""autonomous underwater vehicle"",
        ""unmanned surface vehicle"",
        ""transponder"",
        ""sonar positioning system""
    ],
    ""Technology"": [
        ""acoustic telemetry"",
        ""subsea robotics"",
        ""machine learning"",
        ""motion compensation""
    ],
    ""Application"": [
        ""ocean exploration"",
        ""marine research"",
        ""environmental monitoring"",
        ""Data Visualization""
    ]
}","{
  ""tags"": ""transponder, acoustic telemetry, subsea robotics, ocean exploration, marine research, environmental monitoring""
}","https://www.kongsberg.com/contentassets/ca3263c79f02418fae44ab28b959d482/cnode-midi-700x186.jpg?width=500&rxy=0.5,0.5","['cNODE - Transponder, Embedable', 'cNODE MiniS - Transponder', 'cNODE Maxi - Transponder', 'cNODE Micro - Transponder', 'cNODE IQAM - Intelligent data analysis and monitoring', 'cNODE - Transponder, for explosive atmosphere']","['https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Embed/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Maxi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-IQAM/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Exd/']"
,"cNODE - Transponder, Embedable",Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Embed/,"{""tags"": [""subsea positioning"", ""transponder electronics"", ""navigation codes"", ""underwater telemetry"", ""AUV & ROV compatible""]}","{
    ""Product Type"": [
        ""autonomous underwater vehicle"",
        ""unmanned surface vehicle"",
        ""transponder"",
        ""sonar positioning system""
    ],
    ""Technology"": [
        ""acoustic telemetry"",
        ""subsea robotics"",
        ""machine learning"",
        ""motion compensation""
    ],
    ""Application"": [
        ""ocean exploration"",
        ""marine research"",
        ""environmental monitoring"",
        ""Data Visualization""
    ]
}","{
    ""tags"": ""transponder, acoustic telemetry, ocean exploration, marine research, environmental monitoring""
}","https://www.kongsberg.com/contentassets/8e0944bfa1c74713abadb7fa131c898a/cnode-oem-700x319.jpg?width=500&rxy=0.5,0.5","['cNODE Midi - Transponder', 'cNODE MiniS - Transponder', 'cNODE Maxi - Transponder', 'cNODE Micro - Transponder', 'cNODE IQAM - Intelligent data analysis and monitoring', 'cNODE - Transponder, for explosive atmosphere']","['https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Midi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Maxi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-IQAM/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Exd/']"
,cNODE MiniS - Transponder,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Multibeam Echo Sounders, Sub-bottom Profilers, Acoustic Modems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/,"{""tags"": [""underwater acoustic positioning"", ""transponder"", ""rovs"", ""depth rated 4000m"", ""internal rechargeable battery""]}","{
    ""Product Type"": [
        ""autonomous underwater vehicle"",
        ""unmanned surface vehicle"",
        ""transponder"",
        ""sonar positioning system""
    ],
    ""Technology"": [
        ""acoustic telemetry"",
        ""subsea robotics"",
        ""machine learning"",
        ""motion compensation""
    ],
    ""Application"": [
        ""ocean exploration"",
        ""marine research"",
        ""environmental monitoring"",
        ""Data Visualization""
    ]
}","{
    ""tags"": ""transponder, acoustic telemetry, ocean exploration, marine research, environmental monitoring""
}","https://www.kongsberg.com/contentassets/579601a0858d4901be08d06711a36a44/cnode-minis-700x371.jpg?width=500&rxy=0.5,0.5","['cNODE Midi - Transponder', 'cNODE - Transponder, Embedable', 'cNODE Maxi - Transponder', 'cNODE Micro - Transponder', 'cNODE IQAM - Intelligent data analysis and monitoring', 'cNODE - Transponder, for explosive atmosphere']","['https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Midi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Embed/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Maxi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-IQAM/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Exd/']"
,cNODE Maxi - Transponder,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Fishery Sonar Systems, Acoustic Telemetry for Fish Studies, Fisheries Research Software",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Maxi/,"{""tags"": [""modular acoustic transponder"", ""underwater positioning"", ""acoustic data link"", ""transducer configuration"", ""internal tilt sensing""]}","{
    ""Product Type"": [
        ""autonomous underwater vehicle"",
        ""unmanned surface vehicle"",
        ""transponder"",
        ""sonar positioning system""
    ],
    ""Technology"": [
        ""acoustic telemetry"",
        ""subsea robotics"",
        ""machine learning"",
        ""motion compensation""
    ],
    ""Application"": [
        ""ocean exploration"",
        ""marine research"",
        ""environmental monitoring"",
        ""Data Visualization""
    ]
}","{
  ""tags"": [
    ""transponder"",
    ""acoustic telemetry"",
    ""subsea robotics"",
    ""ocean exploration"",
    ""marine research"",
    ""environmental monitoring""
  ]
}","https://www.kongsberg.com/contentassets/94479533588c488aa1fbc65bc80794eb/cnode-maxi-700x152.jpg?width=500&rxy=0.5,0.5","['MicroPAP (µPAP) - Compact acoustic positioning system', 'cPAP - ROV positioning in Long Base Line transponder array', 'cNODE - Transponder, for explosive atmosphere', 'cNODE Midi - Transponder', 'cNODE - Transponder, Embedable', 'cNODE MiniS - Transponder', 'cNODE Micro - Transponder', 'cNODE IQAM - Intelligent data analysis and monitoring', 'TTC 30 & TTC 10 - Transponders test and configuration units']","['https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/pap-micropap-compact-acoustic-positioning-system/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cPAP/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Exd/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Midi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Embed/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-IQAM/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/TTC-30-TTC-10/']"
,cNODE Micro - Transponder,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Sonar, Fishery Sonar Systems, Acoustic Telemetry for Fish Studies, Fisheries Research Software",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/,"{
  ""tags"": [""underwater acoustic positioning"", ""integrated tilt sensor"", ""rechargeable Li-Ion battery"", ""600m depth rated"", ""omnidirectional transponder""]
}","{
    ""Product Type"": [
        ""autonomous underwater vehicle"",
        ""unmanned surface vehicle"",
        ""transponder"",
        ""sonar positioning system""
    ],
    ""Technology"": [
        ""acoustic telemetry"",
        ""subsea robotics"",
        ""machine learning"",
        ""motion compensation""
    ],
    ""Application"": [
        ""ocean exploration"",
        ""marine research"",
        ""environmental monitoring"",
        ""Data Visualization""
    ]
}","{
    ""Tags"": ""transponder, acoustic telemetry, subsea robotics, ocean exploration, marine research, environmental monitoring""
}","https://www.kongsberg.com/contentassets/1f7424716980446e96013a5582c77de0/cnode-micro-700x177.jpg?width=500&rxy=0.5,0.5","['cNODE Midi - Transponder', 'cNODE - Transponder, Embedable', 'cNODE MiniS - Transponder', 'cNODE Maxi - Transponder', 'cNODE IQAM - Intelligent data analysis and monitoring', 'cNODE - Transponder, for explosive atmosphere']","['https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Midi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Embed/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Maxi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-IQAM/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Exd/']"
,cNODE IQAM - Intelligent data analysis and monitoring,Autonomous and uncrewed solutions," Acoustic Telemetry for Fish Studies, Fisheries Research Software, Fishery Sonar Systems, Multibeam Sonar, Sub-bottom Profilers",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-IQAM/,"{
  ""tags"": [""subsea monitoring"", ""environmental sensor interface"", ""data acquisition"", ""acoustic telemetry"", ""9-axis IMU""]
}","{
    ""Product Type"": [
        ""autonomous underwater vehicle"",
        ""unmanned surface vehicle"",
        ""transponder"",
        ""sonar positioning system""
    ],
    ""Technology"": [
        ""acoustic telemetry"",
        ""subsea robotics"",
        ""machine learning"",
        ""motion compensation""
    ],
    ""Application"": [
        ""ocean exploration"",
        ""marine research"",
        ""environmental monitoring"",
        ""Data Visualization""
    ]
}","{
  ""tags"": ""transponder, acoustic telemetry, machine learning, environmental monitoring, Data Visualization""
}","https://www.kongsberg.com/contentassets/ca1802a3d113416f9530c4dd7ad44411/cnode-iqam-700x372.jpg?width=500&rxy=0.5,0.5","['cNODE Midi - Transponder', 'cNODE - Transponder, Embedable', 'cNODE MiniS - Transponder', 'cNODE Maxi - Transponder', 'cNODE Micro - Transponder', 'cNODE - Transponder, for explosive atmosphere']","['https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Midi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Embed/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Maxi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Exd/']"
,"cNODE - Transponder, for explosive atmosphere",Autonomous and uncrewed solutions," Multibeam Echo Sounders, Multibeam Sonar, Side Scan Sonars, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Exd/,"{""tags"": [""explosive_atmosphere"", ""transponder"", ""IEC_certified"", ""EN_standard_compliant"", ""cNODEMaxi_series""]}","{
    ""Product Type"": [
        ""autonomous underwater vehicle"",
        ""unmanned surface vehicle"",
        ""transponder"",
        ""sonar positioning system""
    ],
    ""Technology"": [
        ""acoustic telemetry"",
        ""subsea robotics"",
        ""machine learning"",
        ""motion compensation""
    ],
    ""Application"": [
        ""ocean exploration"",
        ""marine research"",
        ""environmental monitoring"",
        ""Data Visualization""
    ]
}","{
    ""tags"": ""transponder, acoustic telemetry, environmental monitoring""
}","https://www.kongsberg.com/globalassets/maritime/km-products/pictures/transponder-for-explosive-atmosphere.jpg?width=500&rxy=0.5,0.5","['cNODE Midi - Transponder', 'cNODE - Transponder, Embedable', 'cNODE MiniS - Transponder', 'cNODE Maxi - Transponder', 'cNODE Micro - Transponder', 'cNODE IQAM - Intelligent data analysis and monitoring', 'cNODE - Transponder, for explosive atmosphere']","['https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Midi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Embed/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Maxi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-IQAM/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Exd/']"
,TTC 30 & TTC 10 - Transponders test and configuration units,Autonomous and uncrewed solutions," Portable Hydrographic System, Multibeam Echo Sounders, Multibeam Sonar, Side Scan Sonars, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/TTC-30-TTC-10/,"{""tags"": [""transponder tester"", ""acoustic test equipment"", ""rechargeable battery"", ""splash-proof case"", ""transducer included""]}","{
    ""Product Type"": [
        ""autonomous underwater vehicle"",
        ""unmanned surface vehicle"",
        ""transponder"",
        ""sonar positioning system""
    ],
    ""Technology"": [
        ""acoustic telemetry"",
        ""subsea robotics"",
        ""machine learning"",
        ""motion compensation""
    ],
    ""Application"": [
        ""ocean exploration"",
        ""marine research"",
        ""environmental monitoring"",
        ""Data Visualization""
    ]
}","{
  ""tags"": ""transponder, acoustic telemetry, marine research, environmental monitoring""
}","https://www.kongsberg.com/contentassets/7478367e4ef1428f80f3b839d4a6f35a/bm030107_008_001-ttc30-acoustic-test-1189x793.png?width=500&rxy=0.5,0.5","['cNODE Midi - Transponder', 'cNODE - Transponder, Embedable', 'cNODE MiniS - Transponder', 'cNODE Maxi - Transponder', 'cNODE Micro - Transponder', 'cNODE IQAM - Intelligent data analysis and monitoring', 'cNODE - Transponder, for explosive atmosphere']","['https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Midi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Embed/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-MiniS/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Maxi/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Micro/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-IQAM/', 'https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/cNODE-Exd/']"
,cNODE Mini - Transponder,Autonomous and uncrewed solutions," Side Scan Sonars, Multibeam Sonar, Sub-bottom Profilers, Scanning Sonar, Underwater Mapping Systems",https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/transponders/cnode-transponders-for-hipap-and-uPAP/transponder-mini/,"{
  ""tags"": [""underwater acoustics"", ""transponder"", ""subsea navigation"", ""acoustic positioning"", ""mini cnode""]
}","{
    ""Product Type"": [
        ""autonomous underwater vehicle"",
        ""unmanned surface vehicle"",
        ""transponder"",
        ""sonar positioning system""
    ],
    ""Technology"": [
        ""acoustic telemetry"",
        ""subsea robotics"",
        ""machine learning"",
        ""motion compensation""
    ],
    ""Application"": [
        ""ocean exploration"",
        ""marine research"",
        ""environmental monitoring"",
        ""Data Visualization""
    ]
}","{
    ""tags"": ""transponder, acoustic telemetry, ocean exploration, marine research, environmental monitoring""
}","https://www.kongsberg.com/contentassets/12a9b4b1034b4d298c5ff1b7b3ce3da6/cnode-mini-700x130.jpg?width=500&rxy=0.5,0.5",[],[]
