category,product type,technology,application
Autonomous and uncrewed solutions,"AUV (aut) products, USV(und) products, Hugin AUV, Sounder USV","Navigation, 3000 meter, 4500 meter, 6000 meter, Multibeam Echo sounder, Single beam echo sounder, Sub-bottom profiler, Situational awareness","Environmental Monitoring, Marine Survey, Maritime Surveillance, Infrastructure Monitoring, "
Cloud solution,"Data Management, Industrial IoT, Quality Assurance","AI classification, Cloud-Based, Cyber Security, Sensor Data Analysis","Data Visualization, Environmental Monitoring, Ocean Exploration, Situational Awareness"
Communication solutions,"Modem, Broadband radio, Transceiver","Acoustic Modem, VDES technology,","Maritime Communication, Subsea Communication, Portable, Rapid deployment kit, UAV, Submersible, customer specific integration (OEM), Surface, Space"
Fish finding,"Echosounder Transducer, Portable Transducer, Software Documentation, Transceiver Marine Research","Broadband Sweeps, Dual Frequency, Frequency Adjustment, Split-Beam Transducer","Fish Finding, Fish Stock Assessment, Hydroacoustic Synchronization, Underwater Survey"
Fishery & ocean research,"Autonomous Transceiver, Echo Sounder System, Oceanographic Instrument, Sonar Technology","acoustic Doppler, GPS integrated system, Split-Beam Transducer, Wideband Technology","Environmental Monitoring, Fish Stock Assessment, Marine Navigation, Scientific Research"
Geophysical survey,"Autonomous Underwater Vehicle, Multibeam echo sounder software, Sub-bottom profiler","Positioning & attitude, Multibeam, Single beam","Deep-Sea Exploration, Seafloor Mapping, Sediment Layer Mapping"
Inertial solutions,"Motion Reference Unit, Navigation Simulation","Attitude Determination, Inertial Measurement, MEMS gyro, Motion Sensor","Marine Navigation, Motion Compensation, Post-Processing Analysis, Sensor Data Optimization"
Naval,"Autonomous Underwater Vehicle, Diver Detection Sonar, Uncrewed Surface Vehicle","Customizable Payload, Remote Vessel Operation, USV hydroacoustic applications","Autonomous Maritime Vehicle, Long Endurance, Maritime Research Support"
Seafloor mapping,"Multibeam echo sounder, Single beam echo sounder, Sub-bottom profiler, Synthetic Aperture Sonar","High-Resolution Sonar, Multibeam  Echo Sounder, Side-Scan Sonar, Sub-Bottom Profiling","Deep Sea Exploration, Oceanography, Seafloor Mapping, Subsea Survey"
Surface navigation & positioning,"GPS receiver, IALA beacon receiver, Inertial Sensor, Marine Echo Sounder","Augmented Reality, GNSS infrastructure, Sensor Fusion Compatible, Spoofing Mitigation","Environmental Monitoring, GPS, Maritime Navigation, Vessel Tracking"
Surveillance & monitoring,"Acoustic Control System, Autonomous Underwater Vehicle, Diver Detection Sonar, Leak Detection System","3D sonar technology, Acoustic Telemetry Link, AIS transponder, Autonomous Navigation","BOP operation, Marine Survey, Remote Sensing, Underwater Surveillance"
Underwater navigation & positioning,"Modem, Navigation system, Positioning system, Transponder","Acoustic Telemetry, Hydroacoustic Positioning, Inertial Measurement Unit","Dynamic Positioning Reference, ROV integration, Subsea Survey, Underwater Communication"
